	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	ATF6B	BACH1	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	ETV6	FOS	FOXO3	GTF2B	GTF3A	HIF1A	HLX	HMG20A	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	STAT6	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF524	ZNF580	ZNF677	ZNF75A
Syndecan-2-mediated_signaling_events											SDC2 STAT1																			MMP9 PLAUR SDC2											PLAUR SDC2 SPP1								FOS PLAUR SDC2																																																																								
Syndecan-4-mediated_signaling_events																																																																																																										CTNNB1 CXCR4															
Synthesis_and_interconversion_of_nucleotide_di-_and_triphosphates				AK1 GLRX								GLRX TXN									GLRX TXN						AK1 TXNRD1															GLRX TXN								TXN TXNRD1																				AK1 GLRX TXN			GLRX TXNRD1		GLRX TXN TXNRD1																GLRX TXN													TXN TXNRD1																	
Synthesis_of_DNA																																													PSMA4 PSMB9 PSME1 PSME2																																																																												
Synthesis_of_bile_acids_and_bile_salts																																																ACOX2 CYP27A1																																																																									
Synthesis_of_bile_acids_and_bile_salts_via_7alpha-hydroxycholesterol																																																ACOX2 CYP27A1																																																																									
Synthesis_of_very_long-chain_fatty_acyl-CoAs							ACSL1 TECR					ACSL1 ACSL4																	ACSL1 ACSL4 TECR													ACSL1 TECR				ACSL1 ACSL4																										ACSL1 TECR					ACSL1 ACSL4 TECR												ACSL1 ACSL4		ACSL1 ACSL4 TECR																														
TCR_signaling												FYB NFKB1 NFKBIA RIPK2					LAT PTPRC						FYB NFKB1 NFKBIA																															NFKB1 NFKBIA														FYB LAT		FYB LAT NFKB1 NFKBIA PTPRC		FYB NFKB1 NFKBIA			LAT NFKB1 NFKBIA PTPRC RIPK2																																										LAT NFKBIA				
TCR_signaling_in_na&#xef;ve_CD4+_T_cells						CALM1 HLA-DRA HLA-DRB1 IL2RA JUN JUNB						CALM1 FYB IL2RA NFKB1 NFKBIA RCAN1 RIPK2											CALM1 FKBP1A FYB NFKB1 NFKBIA						BATF3 CALM1 FKBP1A FYB HLA-DRA HLA-DRB1 IL2RA MAP3K8 NFKB1 NFKBIA RAN RCAN1			HLA-DRA HLA-DRB1 JUN NFKB2 NFKBIA PTPRC				BATF3 FKBP1A IL2RA PTPRC RAN								HLA-DRA HLA-DRB1 NFKBIA RAN										BATF3 HLA-DRB1 IL2RA NFKB1 NFKBIA RCAN1							FKBP1A HLA-DRA HLA-DRB1 IL2RA NFKBIA PTPRC RAN RCAN1					IL2RA RAN		FYB RCAN1	CALM1 JUNB PTPRC	BATF3 FKBP1A FYB HLA-DRA HLA-DRB1 IL2RA MAP3K8 NFKB1 NFKB2 NFKBIA PTPRC RCAN1	IL2RA NFKB2 RCAN1	BATF3 FYB HLA-DRA NFKB1 NFKB2 NFKBIA RAN	CALM1 FKBP1A HLA-DRA HLA-DRB1 IL2RA JUNB PTPRC RAN	CALM1 FKBP1A FOS HLA-DRA JUN NFKBIA				FKBP1A FOS NFKB2 NFKBIA RAN RCAN1 RIPK2						CALM1 HLA-DRA HLA-DRB1							BATF3 FKBP1A IL2RA JUN MAP3K8 NFKB2 NFKBIA RAN RCAN1						FKBP1A IL2RA NFKB1 PTPRC RCAN1																								
TCR_signaling_in_na&#xef;ve_CD8+_T_cells						CALM1 HLA-A IL2RA JUN JUNB LAT						CALM1 IL2RA NFKB1 NFKBIA RIPK2 STAT4		FOS JUNB PTPRC RAN TNFRSF9													IL2RA JUN JUNB LAT RAN		CALM1 HLA-A IL2RA MAP3K8 NFKB1 NFKBIA RAN STAT4			HLA-A JUN NFKB2 NFKBIA PTPRC TNFRSF9			IL2RA RAN STAT4 TNFRSF4	IL2RA PTPRC RAN STAT4 TNFRSF4				HLA-A IL2RA JUNB LAT NFKBIA PTPRC RAN STAT4 TNFRSF18 TNFRSF9				NFKBIA RAN		HLA-A IL2RA JUNB RAN RIPK2 STAT4 TNFRSF9				FOS PTPRC TNFRSF18 TNFRSF4 TNFRSF9																IL2RA RAN			CALM1 JUNB PTPRC	HLA-A IL2RA LAT MAP3K8 NFKB1 NFKB2 NFKBIA PTPRC STAT4 TNFRSF4	IL2RA NFKB2	HLA-A NFKB1 NFKB2 NFKBIA RAN STAT4 TNFRSF4	CALM1 HLA-A IL2RA JUNB LAT PTPRC RAN		HLA-A IL2RA LAT MAP3K8 NFKB1 NFKB2 NFKBIA PTPRC RAN RIPK2 STAT4 TNFRSF4			FOS HLA-A NFKB2 NFKBIA RAN RIPK2 STAT4 TNFRSF4		JUNB NFKB2 NFKBIA TNFRSF18 TNFRSF4	HLA-A JUNB NFKBIA STAT4 TNFRSF18 TNFRSF4 TNFRSF9	NFKBIA STAT4 TNFRSF4						FOS HLA-A JUNB NFKB2 NFKBIA RIPK2 TNFRSF18 TNFRSF4 TNFRSF9		HLA-A IL2RA MAP3K8 NFKB2 STAT4 TNFRSF9	IL2RA JUN LAT MAP3K8 NFKB2 NFKBIA RAN TNFRSF4			JUNB NFKBIA STAT4 TNFRSF4											HLA-A TNFRSF18 TNFRSF9												LAT NFKBIA TNFRSF4 TNFRSF9				
TGF-beta_receptor_signaling	CCND1 IL2RA NR3C1 RAN					CALM1 CCND1 CDKN1A DDIT3 EGR2 HSPB1 IL2RA JUN JUNB NUP214 STMN1 YWHAQ								CCND1 CDKN1A DAB2 DUSP1 FOS JUNB PIM1 RAN STMN1 TXN YWHAQ										ATF3 CDKN1A HSPA8 RAN			ATF3 CCND1 CDKN1A DAB2 DDIT3 EGR2 FKBP1A HSPA8 IL2RA JUN JUNB RAN YWHAQ		BATF3 CALM1 CTNNB1 DUSP1 FKBP1A GBP3 HSPB1 IL2RA IRF7 LSP1 MAP3K8 NR3C1 RAN RCAN1 SKIL SLC3A2	CCND1 CDKN1A DDIT3 HSPA8 HSPB1 LSP1 RAN YWHAQ				DAB2 STMN1	CCND1 HSPB1 IL2RA LSP1 PPARG RAN	BATF3 EGR2 FKBP1A GBP3 HSPA8 IL2RA LSP1 PTPN1 RAN			ATF3 CALM1 CDKN1A HSPA8 LSP1 RAN YWHAQ										CALM1 EGR2 FOS PIM1 SLC3A2 YWHAQ	ATF3 CCND1 CDKN1A CTNNB1 EGR2 FOS HSPB1 PIM1 STMN1 TXN		ATF3 EGR2 FKBP1A HSPA8 HSPB1 LSP1 RAN														HSPA8 IL2RA NR3C1 RAN			ATF3 CALM1 CCND1 CDKN1A JUNB NUP214 YWHAQ		IL2RA RCAN1 SKIL		ATF3 CALM1 CCND1 CDKN1A DDIT3 DUSP1 EGR2 FKBP1A HSPA8 HSPB1 IL2RA JUNB LSP1 RAN YWHAQ												DAB2 LSP1		ATF3 CDKN1A EGR2 HSPA8 IL2RA JUN			BATF3 DAB2 FKBP1A GBP3 HSPA8 IL2RA IRF7 LSP1 MAP3K8 PPARG RCAN1 SKIL TXN	ATF3 BATF3 CCND1 FKBP1A GBP3 IL2RA IRF7 JUN MAP3K8 PPARG PTPN1 RAN RCAN1 TXN	CCND1 DUSP1 HSPB1 IL2RA JUNB LSP1 NUP214									ATF3 CCND1 CDKN1A EGR2 JUNB SLC3A2 STMN1 YWHAQ		ATF3 CDKN1A			CTNNB1 DAB2 STMN1			ATF3 DDIT3 EGR2 HSPA8 HSPB1 JUN RAN YWHAQ										BATF3 DAB2 PPARG		ATF3 CDKN1A IL2RA YWHAQ
TGFBR						CCND1 CDKN1A JUN JUNB NUP214 UBE2D1							FKBP1A SDC2											ATF3 CDKN1A HSPA8 UBE2D1			ATF3 CCND1 CDKN1A DAB2 FKBP1A HSPA8 JUN JUNB SDC2																																										ATF3 CCND1 CDKN1A JUNB NUP214				ATF3 CCND1 CDKN1A FKBP1A HSPA8 JUNB SDC2														ATF3 CDKN1A HSPA8 JUN														ATF3 CCND1 CDKN1A JUNB		ATF3 CDKN1A			CTNNB1 DAB2	ATF3 CDKN1A HSPA8 UBE2D1												DAB2 SDC2		
TNF_alpha/NF-kB						BIRC3 HSP90AA1 HSP90AB1 HSPB1 TNFRSF1B YWHAH YWHAQ												BIRC3 HSP90AA1 YWHAQ												HSP90AA1 HSP90AB1 HSPB1 YWHAH YWHAQ									CFLAR HSP90AA1 HSP90AB1 YWHAQ										FKBP5 HSP90AB1 YWHAH YWHAQ																				BIRC3 HSP90AA1 HSP90AB1 YWHAQ											BIRC3 FKBP5 NFKB2 NFKBIA			HSP90AA1 HSP90AB1 HSPB1																						CFLAR FKBP5 HSP90AA1 HSP90AB1 STAT1				HSP90AA1 HSP90AB1 HSPB1 YWHAQ												HSP90AA1 HSP90AB1 TNFRSF1B YWHAQ
TNF_receptor_signaling_pathway	CCND1 IL2RA RAN VIM					BID BIRC3 CALM1 CCND1 CYCS DDIT3 EGR2 HSPB1 IL2RA JUN JUNB NUP214 STMN1 TNFRSF1B YWHAQ						BIRC3 CALM1 CTSD GBP3 IL2RA NFKB1 NFKBIA PTPN1 RCAN1 RIPK2 SLC3A2 TXN VIM		BIRC3 CASP1 CCND1 CYCS DUSP1 EIF2AK2 FOS JUNB PIM1 RAN SQSTM1 STAT1 STMN1 TXN YWHAQ									CALM1 FKBP1A LSP1 NFKB1 NFKBIA VIM				CCND1 CYCS DDIT3 EGR2 FKBP1A GSN IL2RA JUN JUNB RAN TNFRSF1B YWHAQ		BATF3 CALM1 DUSP1 FKBP1A GBP3 HSPB1 IL2RA LSP1 MAP3K8 NFKB1 NFKBIA RAN RCAN1 SLC3A2 VIM	CCND1 CYCS DDIT3 HSPB1 LSP1 RAN YWHAQ		CTSD DUSP1 EIF2AK2 GBP3 GSN JUN NFKB2 NFKBIA PPARG STAT1 VIM			CCND1 CYCS GSN HSPB1 IL2RA LSP1 PPARG RAN SQSTM1	BATF3 EGR2 FKBP1A GBP3 GSN IL2RA LSP1 PTPN1 RAN				BATF3 CCND1 CTSD CYCS DDIT3 DUSP1 EGR2 FKBP1A GBP3 GSN IL2RA JUNB LSP1 NFKBIA NUP214 PPARG RAN STMN1 TNFRSF1B YWHAQ		BATF3 BID BIRC3 CASP1 EIF2AK2 GBP3 GSN JUNB PPARG PTPN1 RIPK2 SQSTM1 STAT1 TXN				BIRC3 CASP1 EIF2AK2 FKBP1A GBP3 GSN IL2RA JUNB PPARG PTPN1 RAN RCAN1 RIPK2 SQSTM1 STAT1 TXN VIM		BIRC3 CASP1 EIF2AK2 GBP3 JUNB PPARG PTPN1 RIPK2 STAT1 TXN	CALM1 EGR2 FOS PIM1 SLC3A2 VIM YWHAQ	BID BIRC3 CASP1 CCND1 CTSD EGR2 EIF2AK2 FOS HSPB1 PIM1 SQSTM1 STAT1 STMN1 TXN	BIRC3 CTSD PIM1 SLC3A2	CYCS EGR2 FKBP1A HSPB1 LSP1 RAN		BATF3 DUSP1 IL2RA NFKB1 NFKBIA RCAN1			CCND1 CTSD CYCS DUSP1 FKBP1A JUNB PIM1 RAN VIM					BID CASP1 LSP1 SQSTM1 STAT1 TXN						LSP1 RCAN1 VIM	BIRC3 CALM1 CCND1 CTSD CYCS JUNB NUP214 YWHAQ	BATF3 BID BIRC3 CCND1 CYCS FKBP1A IL2RA LSP1 MAP3K8 NFKB1 NFKB2 NFKBIA NUP214 PPARG PTPN1 RCAN1 SQSTM1 TXN VIM YWHAQ	IL2RA NFKB2 RCAN1	BATF3 BID EIF2AK2 GBP3 LSP1 NFKB1 NFKB2 NFKBIA PTPN1 RAN SQSTM1 STAT1 TXN	CALM1 CCND1 CYCS DDIT3 DUSP1 EGR2 FKBP1A HSPB1 IL2RA JUNB LSP1 RAN TNFRSF1B VIM YWHAQ				BID CTSD CYCS FKBP1A GBP3 GSN JUN PIM1 RCAN1 VIM	CYCS EGR2 FKBP1A FOS GBP3 GSN NFKB2 NFKBIA RAN RCAN1 RIPK2 STAT1 TXN			BATF3 BID BIRC3 CTSD GSN JUNB NFKBIA PPARG SQSTM1 STAT1 TXN					BID BIRC3 CALM1 CASP1 JUNB SLC3A2 STMN1 VIM		BID CASP1 CTSD DUSP1 EIF2AK2 FOS GBP3 GSN JUNB NFKB2 NFKBIA PPARG RIPK2 SQSTM1 STMN1 TXN	BIRC3 CASP1 EIF2AK2 GBP3 GSN LSP1 NFKBIA PPARG RIPK2 SQSTM1 STAT1 TXN	BATF3 BID FKBP1A GBP3 GSN IL2RA LSP1 MAP3K8 NFKB2 PPARG RCAN1 SQSTM1 STAT1 TXN	BATF3 CCND1 FKBP1A GBP3 GSN IL2RA JUN MAP3K8 NFKB2 NFKBIA PPARG PTPN1 RAN RCAN1 TXN VIM	CCND1 DUSP1 HSPB1 IL2RA JUNB LSP1 NUP214 STAT1		BATF3 BID BIRC3 HSPB1 JUNB NFKBIA PPARG SQSTM1							CCND1 CTSD EGR2 JUNB SLC3A2 STMN1 YWHAQ								CYCS DDIT3 EGR2 HSPB1 JUN RAN YWHAQ								BID EIF2AK2 NFKBIA SLC3A2 SQSTM1 VIM		BATF3 GSN PPARG		
TRAF6_Mediated_Induction_of_proinflammatory_cytokines																																																																										FOS JUN																																															
TRAIL_signaling																																										CFLAR TNFSF10				CFLAR TNFSF10		CFLAR TNFSF10																																								CFLAR TNFSF10	CFLAR TNFSF10															CFLAR TNFSF10	CFLAR TNFSF10																
TRAIL_signaling_pathway												ADM ATF4 BCL2A1 BIRC3 CALM1 CCL2 CD82 CDKN1A CSF1 CTSD DAB2 DUSP5 FABP4 GBP3 HCK HMGA1 ICAM1 IL2RA IRF1 LDHA LYN MMP9 NBN NFKB1 NFKBIA NR3C1 PLIN2 PLK3 POU2F2 PTPN1 PVRL2 RCAN1 RIPK2 SKIL SLA SLC3A2 SOCS3 SOD2 STAT4 TIMP1 TXN UBE2D1 VIM		BCL2A1 BIRC3 BNIP3 BTG2 CASP1 CCND1 CD82 CDKN1A CFLAR CITED2 CLU CSF1 CSF1R CYCS DAB2 DOK2 DUSP1 DUSP5 EIF2AK2 FABP4 FKBP5 FOS HSP90AA1 IRF1 JUNB MMP7 PARP14 PIM1 PLIN2 PLK3 PMAIP1 PTPRC RAN STAT1 STMN1 TAP1 TFRC TNFRSF9 TXN YWHAQ ZFP36L1											DUSP6 FKBP4 FOS ITGB7 LIMA1 NCL SLC11A1 SLC3A2		ATF3 BCL2A1 CCND1 CCND2 CDKN1A CEBPD CSF1 CXCR4 CYCS DAB2 DDIT3 EGR2 FKBP1A GDF15 GREM1 GSN HIF1A HMGA1 HSP90AA1 HSPA8 HSPD1 ID2 IL2RA JUN JUNB NCL NDRG2 PYCARD RAN RNF144B RPS27L SDC2 SH3BP5 SPP1 YWHAQ ZFP36L1			CCL2 CCND1 CDKN1A CLU CYCS DDIT3 FCGR2B FKBP4 FTH1 GDF15 HMGA1 HSP90AA1 HSP90B1 HSPA8 HSPB1 HSPD1 LDHA LSP1 MMP9 NCOA4 PLAUR RAN SDC2 SLC11A1 YWHAH YWHAQ		ADM CCL5 CLU CSF1R CTSD DOK2 DUSP1 EIF2AK2 EPS8 FTH1 GBP3 GSN H2AFY HLA-A HSP90B1 JUN LIMA1 MCL1 MMP7 MT2A NFKB2 NFKBIA PLIN2 PPARG PTPRC SLC11A1 SOD2 STAT1 TNFRSF9 VIM		DAB2 MDM4 STMN1 TNFRSF9	ADM BTG2 CCND1 CYCS DDIT4 EPS8 GSN H2AFY HCK HMGA1 HSPB1 HSPD1 IL2RA LSP1 LYN PLAUR PPARG PYCARD RAN SDC2 SH3BP5 STAT4 TNFRSF4	ADM BATF3 BHLHE41 BNIP3 CCL5 CCND2 DDIT4 EGR2 FKBP1A FTH1 GBP3 GSN HCK HSPA8 ID2 IL2RA LSP1 LYN MMP9 MT2A NBN PCK2 PLAUR PTPN1 PTPRC PYCARD RAN RNF144B SLC11A1 SOCS3 SOD2 STAT4 TNFRSF4						BATF3 BHLHE41 BID BIRC3 BTG2 CASP1 CCL2 CCL5 CCND2 CD82 CFLAR DAB2 DDIT4 EIF2AK2 FABP4 FTH1 GBP3 GDF15 GSN HCK HLA-A ICAM1 IRF7 JUNB MCL1 MMP14 MMP7 MT2A NBN NCOA4 PARP14 PLAUR PPARG PTPN1 PVRL2 PYCARD RIPK2 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TNFSF10 TXN UBE2D1				ADM BIRC3 CASP1 CCL2 CCL5 CD82 CFLAR CITED2 DAPP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP1A FKBP5 GBP3 GSN HLA-A ICAM1 IL2RA IRF1 IRF7 JUNB MCL1 MMP14 MT2A NBN NCOA4 PARP14 PLIN2 PPARG PTPN1 RAN RCAN1 RIPK2 SKIL SLA SOCS3 STAT1 STAT4 TAP1 TNFRSF9 TNFSF10 TNIK TXN VIM		ADM BIRC3 CASP1 CCL5 CD82 CFLAR CITED2 EIF2AK2 FABP4 FKBP5 GBP3 IRF7 JUNB MCL1 MMP7 MT2A NBN PARP14 PLIN2 PPARG PTPN1 PVRL2 PYCARD RIPK2 SOCS3 STAT1 STAT4 TAP1 TNFSF10 TXN	CALM1 CLU CSF1 EGR2 FCGR2B FKBP5 FOS GDF15 NCL NDRG2 PIM1 PLAUR POU2F2 SDC2 SLC3A2 TIMP1 VIM YWHAH YWHAQ ZFP36L1	ATF3 ATF4 BID BIRC3 BNIP3 BTG2 CASP1 CCND1 CD82 CDKN1A CEBPD CFLAR CSF1 CTNNB1 CTSD CXCR4 DOK2 DUSP5 EGR2 EIF2AK2 FABP4 FKBP5 FOS HSPB1 MMP7 PIM1 PLAUR PLK3 PMAIP1 PTPRC SOCS3 STAT1 STMN1 TAP1 TFRC TNFRSF18 TNFRSF4 TNFRSF9 TXN ZFP36L1	ATF4 BIRC3 CDKN1A CTSD DUSP5 PIM1 PLAUR PLK3 SLC3A2 TAP1 TNFRSF4	ATF3 CCND2 CYCS EGR2 FKBP1A FTH1 GDF15 HSPA8 HSPB1 HSPD1 ID2 LSP1 MMP9 MT2A NCOA4 PYCARD RAN SH3BP5 STAT4 YWHAH						ATF3 BCL2A1 CSF1 EGR2 FKBP1A GDF15 HMGA1 HSP90AA1 HSPD1 PMAIP1 PTPRC SPP1 YWHAH YWHAQ	BNIP3 DUSP5 HSPD1 LDHA LIMA1			BID CASP1 CCL2 FABP4 FTH1 LSP1 NCOA4 PARP14 PLAUR PLK3 SKIL SOD2 STAT1 TNFRSF4 TXN				HMGA1 HSPA8 IL2RA LDHA MMP9 NR3C1 RAN RNF144B			ATF3 BIRC3 CALM1 CCND1 CDKN1A CSF1 CSF1R CTSD CYCS DUSP5 HMGA1 HSP90AA1 ID2 JUNB NUP214 PDCD4 PLK3 PTPRC RPS27L YWHAQ ZFP36L1			BATF3 BID CCL2 CCL5 CCND2 DAB2 EIF2AK2 FTH1 GBP3 H2AFY HCK HLA-A ICAM1 ID2 IRF1 LSP1 LYN MMP14 MT2A NBN NFKB1 NFKB2 NFKBIA PARP14 PCK2 PLAUR PLIN2 POU2F2 PTPN1 RAN RRAS SLA SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TXN		BHLHE41 BNIP3 BTG2 CALM1 CCL2 CLU DUSP6 FABP4 FCGR2B FKBP1A FKBP5 FOS GBP3 GDF15 HIF1A ID2 IRF7 JUN LSP1 MMP14 MT2A NCOA4 NFKBIA PLAUR POU2F2 SKIL SLA SOD2 TIMP1 VIM			ATF4 BHLHE41 BID BNIP3 CCL2 CCND2 CSF1R CTSD CYCS EPS8 FABP4 FKBP1A GBP3 GSN H2AFY HCK HIF1A HLA-A ICAM1 ID2 JUN LYN MDM2 MMP9 NR3C1 PCK2 PIM1 PLAUR RCAN1 RNF144B SKIL SLA SOCS3 SOD2 STAT4 TIMP1 UBE2D1 VIM	CCL5 CCND2 CYCS DAB2 EGR2 FABP4 FKBP1A FOS FTH1 GBP3 GDF15 GSN H2AFY HCK HLA-A HMGA1 HSP90B1 HSPA8 HSPD1 ID2 IRF1 IRF7 LIMA1 MMP7 MMP9 MT2A NBN NCL NFKB2 NFKBIA PARP14 PLIN2 PYCARD RAN RCAN1 RIPK2 RNF144B RRAS SDC2 SH3BP5 SLC11A1 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TNFSF10 TXN UBE2D1		ARAP2 BIRC3 CCL5 CSF1 DOK2 DUSP5 FKBP5 JUNB NFKB2 NFKBIA PIM1 PLIN2 PLK3 PMAIP1 POU2F2 TIMP1 TNFRSF18 TNFRSF4		CCL5 GBP3 HIF1A NFKBIA PLAUR PLIN2 SOD2 STAT4 TNFRSF4					ADM ATF3 BNIP3 CDKN1A CEBPD CSF1 EGR2 GDF15 GSN HIF1A HSPA8 ID2 IL2RA JUN NCL NDRG2 PYCARD SPP1 STAT4 YWHAH	BID BTG2 CASP1 CCL5 CCND2 CD82 CDKN1A CFLAR CITED2 CLU CTSD DAB2 DAPP1 DUSP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP5 FOS GBP3 GDF15 GSN HCK HLA-A ICAM1 IRF1 IRF7 JUNB MMP14 MMP7 NBN NCOA4 NFKB2 NFKBIA PARP14 PLIN2 PLK3 POU2F2 PPARG PVRL2 PYCARD RIPK2 RRAS SDC2 SLC11A1 SOCS3 SOD2 STMN1 TAP1 TNFRSF18 TNFRSF4 TNFRSF9 TNFSF10 TXN UBE2D1		BATF3 BID DAB2 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90B1 HSPA8 ICAM1 ID2 IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NBN NCOA4 NFKB2 PARP14 PPARG PVRL2 PYCARD RCAN1 RNF144B RRAS SDC2 SH3BP5 SKIL SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TNFSF10 TXN UBE2D1	ATF3 BATF3 BCL2A1 CCL5 CCND1 DDIT4 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HSP90AA1 ICAM1 IL2RA IRF1 IRF7 JUN LYN MAP3K8 MCL1 MDM4 MMP9 MT2A NBN NFKB2 NFKBIA PCK2 PLIN2 PPARG PTPN1 RAN RCAN1 RNF144B SH3BP5 SOD2 TAP1 TNFRSF4 TXN UBE2D1 VIM										ATF3 BTG2 CCND1 CD82 CDKN1A CSF1 CTSD CXCR4 DUSP5 EGR2 JUNB MMP7 PLAUR PLK3 RPS27L SLC3A2 SPP1 STMN1 TNFRSF18 YWHAQ ZFP36L1				ATF4 CD82 CFLAR FKBP5 HLA-A HSP90AA1 HSPA8 MMP7 NCL SLC3A2 STAT1 TAP1 TNFRSF18 TNFRSF9 TNFSF10 TXN ZFP36L1	ATF4 CTNNB1 CXCR4 DAB2 IRF1 STMN1			ATF3 BCL2A1 CSF1 CXCR4 CYCS DDIT3 EGR2 HMGA1 HSP90AA1 HSPA8 HSPB1 HSPD1 JUN PMAIP1 RAN SH3BP5 YWHAQ ZFP36L1		BID CCL5 CD82 CFLAR GBP3 ICAM1 IRF1 MMP7 NBN PLAUR SLA SOCS3 SOD2 TNFRSF4 TXN								BATF3 DAB2 DDIT4 FTH1 GSN HSPD1 PPARG SDC2		
Tat-mediated_HIV-1_elongation_arrest_and_recovery																																																																																																											TCEB1 TCEB2														
Tat-mediated_elongation_of_the_HIV-1_transcript																																																																																																											TCEB1 TCEB2														
Tetrahydrobiopterin_(BH4)_synthesis,_recycling,_salvage_and_regulation				GCH1 GCHFR		CALM1 HSP90AA1						CALM1 GCH1 GCHFR																	CALM1 GCHFR										CALM1 HSP90AA1	GCH1 HSP90AA1	CALM1 GCHFR																				GCHFR HSP90AA1								CALM1 HSP90AA1			GCH1 GCHFR	CALM1 HSP90AA1																	GCH1 GCHFR	GCH1 GCHFR HSP90AA1																														
The_NLRP3_inflammasome							CASP1 TXN					HSP90AB1 TXN		CASP1 TXN TXNIP													HSP90AB1 PYCARD						HSP90AB1 PYCARD TXNIP									CASP1 PYCARD TXN				CASP1 TXN		CASP1 PYCARD TXN	HSP90AB1 TXNIP	CASP1 TXN		HSP90AB1 PYCARD										CASP1 TXN								TXN TXNIP				HSP90AB1 TXNIP				PYCARD TXN	HSP90AB1 TXNIP							CASP1 HSP90AB1	HSP90AB1 PYCARD	CASP1 PYCARD TXN	CASP1 PYCARD TXN	PYCARD TXN	HSP90AB1 TXN														HSP90AB1 TXN																
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport							COX5B MT-ATP6 MT-CO3 MT-ND2 MT-ND4 MT-ND5	MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9																		MT-ATP6 MT-CYB MT-ND4																			MT-ATP6 MT-CO3 MT-CYB MT-ND4 MT-ND5			IDH2 MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5																MT-ATP6 MT-CO3 MT-CYB MT-ND5 NDUFB9			MT-ATP6 MT-ND2 MT-ND4 MT-ND5									MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9													DLD IDH2 MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5										COX5B NDUFB6 NDUFB9					IDH2 MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9																	
The_role_of_Nef_in_HIV-1_replication_and_disease_pathogenesis						HCK HLA-A																																				HCK HLA-A																														HCK HLA-A	HCK HLA-A				HCK HLA-A													HCK HLA-A																										HCK HLA-A					
