TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Zfp459	Th17_upOnly.txt	Th17_upOnly	1170	down	7	5	0.0341019057494	1	Cpne6 Emilin1 Pdpn Rgs8 Vdr
Prox1	Th17_upOnly.txt	Th17_upOnly	1170	down	7	5	0.0341019057494	1	B3gnt3 Batf Gpr68 Rgs16 Tnfrsf25
Arid5a	Th17_downOnly.txt	Th17_downOnly	1248	down	13	8	0.0342421231205	1	B4galnt1 Gata3 Klf2 Pten Qser1 Rassf4 Rel Zfp945
Tshz2	Th17_downOnly.txt	Th17_downOnly	1248	down	13	8	0.0342421231205	1	Aim2 Klf2 Klf3 Rab8b Rdh10 Spsb4 Sspo St14
Mitf	Th17_upOnly.txt	Th17_upOnly	1170	up	55	24	0.0343391652827	1	Atp6v0a1 Atp6v0d2 Atrnl1 B3galt2 B4galt2 Cd28 Cdc42ep3 Chm Crybg3 Ehd4 Ern1 Havcr1 Hmox1 Id2 Il1r1 Il33 Lgr4 Lpp Sgtb Slco3a1 Smox Vax2 Wdr81 Zfp9
Zfp956	Th17_upOnly.txt	Th17_upOnly	1170	down	26	13	0.0347136700597	1	Ass1 Bnip3 C3 Ccl20 Cnih3 Egln3 Gdpd1 Higd1a Lta Rgs16 Rgs8 Slc17a7 Spats2
Cggbp1	Th17_upOnly.txt	Th17_upOnly	1170	down	21	11	0.0348826344569	1	Acy1 Adam15 B4galnt4 Insl3 Kctd17 Mgll Mvp Nt5c1a Rgs11 Tgm2 Xylt2
Zfp2	Th17_upOnly.txt	Th17_upOnly	1170	down	5	4	0.0355600489509	1	Asb2 Crat Fes Slc4a11
Akna	Th17_downOnly.txt	Th17_downOnly	1248	up	47	22	0.0366383712993	1	Arc Arhgap22 Arhgef6 Asap1 B4galnt1 Bcl6b Ces2c Dusp1 Fam120c Fut8 Icosl Ikbke Ms4a6c Myo1e Nrip1 P2rx7 Phlpp1 Pla2g4f Proz Rufy3 Ticam2 Trpa1
Nr1i3	Th17_downOnly.txt	Th17_downOnly	1248	down	20	11	0.0370227816127	1	Cxxc5 Ephx1 Fas Glipr1 Grip1 Hspa12a Mex3a P2ry14 Pvt1 Slc5a9 Thap2
Gm13157	Th17_downOnly.txt	Th17_downOnly	1248	up	11	7	0.0382398838262	1	Bmp7 Chn2 Gpr176 Lad1 Rnf170 Tnni1 Tnnt2
Grhl2	Th17_downOnly.txt	Th17_downOnly	1248	down	11	7	0.0382398838262	1	2900026A02Rik Col27a1 Cyp51 Galm Igfbp7 Nrp1 Phldb2
Zfp362	Th17_downOnly.txt	Th17_downOnly	1248	up	11	7	0.0382398838262	1	Adam10 Galm Pnoc Rimklb Tmprss3 Tnfrsf13c Ttyh3
Gm10324	Th17_downOnly.txt	Th17_downOnly	1248	down	11	7	0.0382398838262	1	Apol10b Ccdc67 D130043K22Rik Hist1h1t Lpar1 Tmem150c Tmem63c
Mafb	Th17_downOnly.txt	Th17_downOnly	1248	up	105	44	0.0382948024311	1	4930412O13Rik Adamts20 Adrb2 Ankk1 Antxr2 Arc Ccdc3 Cd160 Ces2b Ces2d-ps Ces2g Edn3 Fmnl2 Galm Gbp8 Gdf3 Gigyf2 Gm10389 Gm2762 Gnaq Gpr35 Havcr2 Hdac9 Inhbb Iqsec2 Itgb3 Kcnmb1 Krt16 Lin7a Loxl2 Pard3 Plxdc2 Pnma2 Ppp2r2c Prox1 Samsn1 Serpinb11 Sirpa Sp6 Src Ttn Wdfy3 Wnt3 Wnt9b
Gm13157	Th17_upOnly.txt	Th17_upOnly	1170	down	14	8	0.0394603862481	1	Blvrb Bok Gm8615 Megf8 Mmp14 Rab39 Rnf208 Slc43a2
Tcf12	Th17_downOnly.txt	Th17_downOnly	1248	up	108	45	0.0402607186947	1	Abcb1b Acsl6 Ankrd13c Ankrd23 Antxr2 Arhgef3 Asap1 Avpr1a B4galnt3 Cd96 Celf2 Cmah Dnmt3a Dock10 Dtx4 Egr4 F8 Fam53b Fbxo30 Fmnl2 Galm Glcci1 Igfbp7 L3mbtl3 Mnda Mndal Mycbp2 Ncoa2 Nebl Neto2 Pkp4 Plekha1 Pou2f2 Ppip5k2 Ptprc Rfx7 Sh3bp5 Slfn3 Slfn4 Synpo Tbc1d4 Utrn Zfp445 Zfp704 Zfp827
Srf	Th17_upOnly.txt	Th17_upOnly	1170	up	64	27	0.0405255644553	1	1700084E18Rik AA467197 Adarb1 Bend4 Cdyl2 Crip1 Ctla2b Emb Emp3 Gjc2 Gpr18 Klf10 Mt1 Mt2 Npl Plekho1 Pqlc1 S100a13 Sept4 Sertad1 Sipa1l2 Slamf7 Ssbp4 Thbs3 Trim3 Zbtb4 Zfp36
Zfp768	Th17_downOnly.txt	Th17_downOnly	1248	up	25	13	0.0407308188153	1	AI414108 Ccrl2 Cd81 H2afy2 Iqsec2 Lhpp Mid2 Nrn1 Pard3 Stc2 Tmcc2 Wdfy3 Zfp105
Zfp345	Th17_downOnly.txt	Th17_downOnly	1248	up	30	15	0.0425460363317	1	Atp8b1 Clec2h Eno4 F8 Fam69c Fam84a Gm8234 Heyl Igfbp2 Pgr15l Reps2 Serpinb6c Serpinb9g Slc22a2 Slfn4
Zfp711	Th17_downOnly.txt	Th17_downOnly	1248	up	30	15	0.0425460363317	1	Aard Akr1c12 Akr1c13 Amph Ascl4 Cables1 Car2 Fgf2 Gm10389 Lrp11 P2ry1 Spry2 Tnfrsf11a Zfp612 Zfp820
Atf5	Th17_upOnly.txt	Th17_upOnly	1170	up	56	24	0.0428340350946	1	Acsl4 Adarb1 Aldh1l2 Aqp9 BC021614 Cyfip2 Ddit3 Dock3 Fau Gmfg Hmox1 Krtcap2 Nucb2 Nudt8 Pipox Pycr1 Rab39b Reep6 Slc4a8 Wwp1 Ypel3 Ypel4 Zfp580 Zswim4
Dmrta2	Th17_upOnly.txt	Th17_upOnly	1170	up	56	24	0.0428340350946	1	2010005H15Rik Bcl2l15 Bend4 Bmpr1a Cxcr3 Ebf1 Eps8 Ermn Fgl2 Galnt3 Gpr18 Gstt1 Kdelr3 Mctp2 Ndrg1 Nme4 Pik3ap1 Runx2 S100a6 Slamf7 Stom Trpc1 Ttc39c Zbtb7c
Zfp202	Th17_upOnly.txt	Th17_upOnly	1170	up	48	21	0.0447147249319	1	1810010H24Rik AA467197 Acvrl1 Anxa3 BC021614 C3 Capn5 Cxcr6 D830046C22Rik Dlg4 Gpr146 Leprel4 Mta3 Nr1d1 Pla2g12a Rcn3 Serpinb1a Sertad3 Tubb2b Ubtd1 Zfp629
Adnp	Th17_downOnly.txt	Th17_downOnly	1248	down	5	4	0.0450261279056	1	Dcxr Eda2r Hist1h1c Hist1h1d
Ahdc1	Th17_downOnly.txt	Th17_downOnly	1248	up	5	4	0.0450261279056	1	Nod1 Plxnd1 Zfp831 Zfpm1
Yy2	Th17_upOnly.txt	Th17_upOnly	1170	down	40	18	0.0457627956987	1	4930539E08Rik B3gnt8 Dusp3 Gatsl3 Gimap7 Gsn Gstt1 Kdelr3 Mcf2l Npc2 Padi2 Plcxd1 Ppp3cc Prkar1b Rab4b Syngr3 Syt5 Vegfb
Stat4	Th17_downOnly.txt	Th17_downOnly	1248	down	74	32	0.0458391141944	1	Ablim3 Ahnak Arhgef3 Atxn1 Calhm1 Ccdc50 Cd83 Cdc14a Creb1 Cyr61 Fastkd2 Fmnl2 Gen1 Gna15 Ifih1 Igfbp7 Inpp4b Krt17 Npas2 Nudt6 Pter Ptn Rhbdf1 Serpinc1 Siglec5 Smek2 Sntb1 Stat4 Steap3 Tgfbr1 Tnfrsf13c Tnfsf11
Zfp275	Th17_upOnly.txt	Th17_upOnly	1170	down	12	7	0.0473243250018	1	Bok Chn1 Gdpd1 Pafah1b3 Palm Spats2 Sult4a1
Clock	Th17_upOnly.txt	Th17_upOnly	1170	down	51	22	0.0475641398483	1	4930486L24Rik Acpp Aes B3gnt8 BC029722 Ctsf Emp1 Enah Fth1 Gpr18 Mapk3 Mxd1 Nr1d1 Pde2a Pltp Rimkla Sdc3 Spp1 Susd3 Syt5 Thra Ucp2
Pou2af1	Th17_upOnly.txt	Th17_upOnly	1170	up	51	22	0.0475641398483	1	4930417O13Rik 4933406I18Rik Adora2a Akr1cl Arl4c Bdh2 Cd28 Cdk18 Cldn4 Cnn2 Crtam Ehd3 Fgf16 Kcna3 Olfm2 P2ry2 Palld Pim1 Ptprf Sirt4 Syde2 Tead3
Ccdc17	Th17_upOnly.txt	Th17_upOnly	1170	up	27	13	0.0483215781416	1	Acox3 Adc Dach2 Dst Epm2a Gm6225 Gp49a Grina Ifitm1 Impg2 Lmo2 Mylk Ugt1a6b
Foxc1	Th17_downOnly.txt	Th17_downOnly	1248	up	43	20	0.048413057999	1	Arpp21 Ccdc80 Cmah Csf2rb2 Ebag9 Fmnl2 Gpr82 Havcr2 Hebp2 Hhex Kcnq5 Klhl15 Pard3 Pde10a Plekha1 Rgma Rgmb Slc12a8 Slfn3 Tbc1d4
Hmx2	Th17_downOnly.txt	Th17_downOnly	1248	down	16	9	0.0493507340264	1	Adamtsl3 Ces2b Ddx43 Gm5544 Maged1 Pigr Plxnd1 Scn5a Vcam1
Mef2d	Th17_downOnly.txt	Th17_downOnly	1248	up	16	9	0.0493507340264	1	BC094916 Ifi203 Ipcef1 Mx2 Nr4a3 Oasl2 Pyhin1 Qser1 Ubash3b
Deaf1	Th17_downOnly.txt	Th17_downOnly	1248	down	16	9	0.0493507340264	1	5430427O19Rik Acsl6 Alpk1 Gna15 Herc6 Irf5 St14 Unc93b1 Wscd2
