	Batf	Etv6	Fosl2	Hif1a	Irf4	Maf	Nfe2l2	Rorc	Stat3
Ak171655	4.0	2.0	0	2.0	3.0	0	0	1.0	1.0
Ak171687	6.0	2.0	3.0	2.0	5.0	4.0	0	3.0	3.0
Ak171782	11.0	0	6.0	1.0	4.0	5.0	1.0	2.0	5.0
Ak171786	6.0	0	4.0	2.0	4.0	1.0	1.0	1.0	3.0
Ak171817	5.0	0	1.0	0	1.0	2.0	0	0	1.0
Ak171827	8.0	2.0	2.0	2.0	7.0	2.0	0	2.0	6.0
Ak171899	2.0	0	2.0	0	0	1.0	0	0	0
Ak171953	1.0	0	0	0	0	0	0	0	0
Ak171956	8.0	0	2.0	4.0	2.0	2.0	4.0	2.0	1.0
Ak171960	4.0	0	2.0	0	1.0	0	1.0	0	0
Ak171966	7.0	2.0	5.0	2.0	3.0	2.0	0	0	0
Ak172064	7.0	0	2.0	0	4.0	0	0	1.0	1.0
Ak172081	1.0	0	4.0	0	0	0	4.0	0	0
Ak172190	6.0	0	3.0	3.0	2.0	2.0	1.0	0	3.0
Ak172315	4.0	0	3.0	0	4.0	0	0	0	3.0
Ak172386	6.0	0	6.0	0	4.0	6.0	0	2.0	3.0
Ak172440	0	1.0	1.0	0	2.0	0	0	1.0	0
Ak172452	5.0	0	4.0	0	1.0	2.0	0	0	0
Ak172459	2.0	0	3.0	0	0	1.0	0	0	0
Ak172478	5.0	2.0	2.0	2.0	4.0	5.0	0	1.0	0
Ak172490	10.0	0	5.0	1.0	4.0	3.0	0	1.0	4.0
Ak172601	10.0	0	4.0	0	6.0	3.0	0	2.0	4.0
Ak172630	16.0	1.0	10.0	1.0	13.0	6.0	0	3.0	8.0
Ak172662	2.0	0	0	0	0	4.0	0	0	0
Ak172672	13.0	0	11.0	2.0	11.0	5.0	0	4.0	4.0
Ak172713	4.0	2.0	0	0	3.0	0	0	0	0
Ak172714	11.0	0	10.0	0	5.0	5.0	0	1.0	2.0
Ak172721	6.0	0	4.0	0	2.0	0	0	0	0
Ak177718	1.0	0	2.0	1.0	2.0	0	0	0	0
Ak177772	13.0	0	8.0	0	11.0	5.0	1.0	0	2.0
Ak177800	0	0	2.0	0	0	0	0	0	0
Ak178359	0	0	1.0	0	0	0	3.0	0	0
Ak178429	4.0	0	1.0	0	1.0	0	0	0	0
Ak179007	3.0	1.0	4.0	0	0	0	0	0	1.0
Ak179044	2.0	0	2.0	0	0	2.0	0	0	0
Ak179066	9.0	0	6.0	2.0	9.0	3.0	0	4.0	3.0
Ak179207	5.0	0	2.0	0	1.0	2.0	0	0	0
Ak179349	0	0	0	0	0	0	1.0	0	0
Ak179786	13.0	5.0	5.0	2.0	6.0	5.0	1.0	2.0	6.0
Ak180019	6.0	0	2.0	0	0	2.0	0	0	0
Ak180077	3.0	2.0	1.0	1.0	5.0	1.0	1.0	3.0	0
Ak180240	5.0	2.0	3.0	0	5.0	3.0	0	2.0	4.0
Ak180745	11.0	0	8.0	1.0	5.0	2.0	1.0	1.0	0
Ak180852	1.0	0	3.0	0	1.0	0	0	0	0
Ak180939	8.0	0	8.0	0	2.0	3.0	0	0	1.0
Ak180973	3.0	0	1.0	0	1.0	1.0	0	0	0
Ak181631	6.0	0	2.0	0	5.0	3.0	0	2.0	3.0
Ak181663	6.0	0	6.0	0	1.0	5.0	0	0	1.0
Ak181755	1.0	2.0	1.0	0	1.0	1.0	0	0	0
Ak181773	0	3.0	0	0	2.0	1.0	1.0	0	1.0
Ak181808	14.0	3.0	8.0	4.0	9.0	10.0	5.0	7.0	7.0
Ak181830	0	1.0	0	0	2.0	0	0	0	0
Ak181896	1.0	2.0	0	0	2.0	0	1.0	2.0	0
Ak181950	2.0	0	2.0	0	0	0	0	0	0
Ak182522	8.0	6.0	6.0	0	6.0	4.0	0	0	2.0
Ak182655	3.0	2.0	3.0	0	4.0	7.0	3.0	1.0	0
Ak182695	0	0	0	0	0	0	1.0	0	0
Ak182874	7.0	0	5.0	0	6.0	5.0	0	1.0	2.0
Ak182887	1.0	0	1.0	0	0	0	0	0	0
Ak184064	0	0	0	0	0	0	1.0	0	0
Ak184121	2.0	0	0	0	0	0	1.0	1.0	0
Ak184225	0	1.0	0	0	3.0	0	2.0	1.0	0
Ak184299	1.0	1.0	1.0	0	2.0	1.0	2.0	1.0	0
Ak184603	4.0	2.0	1.0	2.0	4.0	1.0	0	0	0
Ak184713	4.0	0	5.0	0	2.0	2.0	0	0	2.0
Ak184869	3.0	2.0	1.0	0	3.0	1.0	1.0	1.0	0
Ak184946	2.0	0	1.0	0	0	0	0	0	0
Ak185415	4.0	4.0	2.0	1.0	6.0	3.0	3.0	3.0	2.0
Ak185556	5.0	2.0	6.0	0	3.0	3.0	1.0	0	0
Ak185715	4.0	4.0	2.0	1.0	6.0	3.0	3.0	3.0	2.0
Ak186390	2.0	0	2.0	0	1.0	1.0	0	0	0
Ak186759	3.0	0	0	0	3.0	0	3.0	0	0
Ak187594	16.0	3.0	7.0	4.0	18.0	13.0	2.0	6.0	9.0
Ak188430	8.0	2.0	4.0	1.0	2.0	0	0	0	0
Ak188772	1.0	0	0	0	0	0	0	0	0
Ak188793	12.0	1.0	8.0	0	6.0	4.0	0	2.0	5.0
Ak188991	2.0	2.0	0	0	2.0	0	0	0	0
Ak189005	2.0	2.0	0	1.0	0	0	0	0	0
Ak189100	1.0	0	2.0	0	0	0	0	0	0
Ak189432	3.0	0	2.0	1.0	3.0	2.0	0	2.0	2.0
Ak189470	2.0	1.0	1.0	0	1.0	3.0	0	0	0
Ak189633	0	0	0	0	0	0	1.0	0	0
Ak189692	4.0	1.0	0	0	1.0	0	0	0	0
Ak189830	3.0	0	2.0	1.0	1.0	1.0	0	1.0	2.0
Ak190492	0	1.0	0	0	1.0	0	0	0	1.0
Ak190497	2.0	2.0	1.0	2.0	5.0	1.0	0	0	4.0
Ak190918	4.0	0	4.0	1.0	1.0	4.0	0	0	0
Ak191080	10.0	0	6.0	0	7.0	4.0	0	4.0	2.0
Ak191411	2.0	0	4.0	0	2.0	0	0	0	0
Ak191425	0	0	2.0	2.0	0	0	0	0	0
Ak191498	5.0	2.0	4.0	3.0	2.0	8.0	4.0	0	0
Ak191723	2.0	0	0	0	1.0	1.0	0	0	4.0
Ak191809	1.0	2.0	2.0	0	3.0	0	0	0	0
Ak192194	1.0	1.0	0	1.0	1.0	1.0	0	0	0
Ak192501	2.0	3.0	3.0	0	4.0	3.0	3.0	0	0
Ak192544	0	0	1.0	0	0	0	0	0	0
Ak192600	1.0	0	1.0	0	0	1.0	0	0	0
Ak192647	7.0	4.0	5.0	2.0	4.0	1.0	1.0	0	0
Ak192827	2.0	0	1.0	0	0	0	0	0	0
Ak192985	4.0	0	0	0	0	0	4.0	0	0
Ak193034	5.0	2.0	2.0	2.0	3.0	1.0	0	0	1.0
Ak193180	2.0	2.0	1.0	1.0	3.0	1.0	4.0	1.0	1.0
Ak193268	5.0	4.0	3.0	0	1.0	2.0	0	0	0
Ak193543	4.0	0	4.0	0	1.0	0	0	1.0	0
Ak193649	4.0	1.0	2.0	0	3.0	0	3.0	0	0
Ak194005	4.0	0	6.0	0	0	3.0	0	0	0
Ak194371	4.0	0	2.0	0	2.0	0	1.0	0	0
Ak195420	2.0	0	2.0	0	1.0	2.0	0	1.0	0
Ak195756	8.0	0	6.0	0	6.0	1.0	0	0	0
Ak195902	2.0	0	3.0	0	0	2.0	0	1.0	1.0
Ak195979	1.0	0	0	2.0	0	0	0	0	0
Ak196141	3.0	1.0	4.0	2.0	3.0	3.0	0	1.0	4.0
Ak196308	10.0	3.0	7.0	2.0	9.0	4.0	1.0	1.0	5.0
Ak196542	4.0	0	2.0	1.0	0	1.0	0	0	1.0
Ak196832	3.0	0	2.0	0	1.0	1.0	0	0	0
Ak196840	2.0	1.0	2.0	2.0	3.0	0	0	0	0
Ak197180	0	0	0	0	0	0	0	1.0	0
Ak197603	5.0	0	4.0	0	2.0	1.0	0	0	0
Ak197669	2.0	1.0	0	0	1.0	2.0	0	1.0	0
Ak197737	4.0	0	4.0	1.0	4.0	3.0	0	1.0	1.0
Ak197973	14.0	3.0	8.0	4.0	9.0	10.0	5.0	7.0	7.0
Ak197994	4.0	2.0	1.0	1.0	2.0	1.0	4.0	0	0
Ak198004	3.0	1.0	1.0	0	0	1.0	0	0	0
Ak198029	6.0	0	3.0	3.0	2.0	5.0	3.0	1.0	1.0
Ak198376	0	0	0	0	0	0	4.0	0	0
Ak198669	5.0	0	4.0	0	1.0	2.0	0	1.0	2.0
Ak198904	0	0	0	0	0	0	1.0	0	0
Ak198984	0	0	2.0	2.0	2.0	1.0	0	1.0	0
Ak198990	2.0	0	2.0	0	0	0	0	0	0
Ak199258	4.0	0	4.0	0	1.0	0	0	1.0	0
Ak199358	0	0	0	0	0	0	2.0	0	0
Ak199844	2.0	0	3.0	0	0	0	0	0	0
Ak2	3.0	1.0	5.0	1.0	4.0	3.0	2.0	2.0	5.0
Ak200837	0	0	2.0	0	1.0	2.0	0	0	0
Ak201302	0	0	0	0	0	0	7.0	0	0
Ak201505	8.0	0	6.0	0	4.0	4.0	0	3.0	1.0
Ak201601	0	0	2.0	0	1.0	2.0	0	0	0
Ak201904	3.0	0	2.0	0	2.0	2.0	0	0	3.0
Ak202301	2.0	1.0	0	0	2.0	1.0	5.0	2.0	0
Ak202427	0	0	0	0	0	1.0	0	0	0
Ak202516	1.0	0	2.0	0	0	1.0	7.0	0	0
Ak202543	5.0	2.0	3.0	0	5.0	3.0	0	2.0	4.0
Ak202580	3.0	0	2.0	0	2.0	2.0	0	1.0	0
Ak202663	6.0	0	4.0	0	6.0	4.0	2.0	2.0	0
Ak203140	5.0	0	5.0	0	0	0	0	0	0
Ak203706	2.0	0	2.0	0	0	2.0	0	0	0
Ak203921	0	0	0	0	0	0	0	1.0	0
Ak204212	2.0	0	2.0	2.0	3.0	3.0	4.0	2.0	0
Ak204461	4.0	0	2.0	0	1.0	1.0	0	0	0
Ak204506	9.0	2.0	4.0	1.0	4.0	4.0	2.0	0	4.0
Ak204572	11.0	3.0	6.0	4.0	6.0	6.0	5.0	3.0	1.0
Ak204799	6.0	0	4.0	0	2.0	5.0	0	2.0	3.0
Ak204918	2.0	2.0	2.0	0	0	0	0	0	0
Ak205023	3.0	0	1.0	2.0	3.0	2.0	1.0	3.0	2.0
Ak205147	4.0	0	2.0	0	1.0	3.0	3.0	0	0
Ak205332	3.0	0	2.0	0	1.0	2.0	0	1.0	0
Ak205703	2.0	0	0	0	1.0	0	1.0	0	0
Ak206180	5.0	2.0	6.0	2.0	3.0	2.0	0	3.0	0
Ak206234	0	0	0	0	0	0	1.0	0	0
Ak206368	3.0	0	4.0	0	2.0	1.0	0	0	1.0
Ak206655	0	0	2.0	0	1.0	3.0	0	0	1.0
Ak206780	2.0	0	2.0	0	1.0	0	0	0	0
Ak207524	0	1.0	0	1.0	2.0	1.0	0	0	0
Ak207571	4.0	0	2.0	0	1.0	1.0	2.0	0	0
Ak207580	1.0	0	0	0	2.0	0	0	0	0
Ak207593	1.0	0	3.0	0	1.0	1.0	0	1.0	0
Ak207784	5.0	4.0	2.0	2.0	4.0	2.0	1.0	1.0	0
Ak207863	3.0	0	1.0	0	1.0	0	0	0	0
Ak208069	3.0	2.0	0	0	4.0	0	0	0	0
Ak208136	3.0	0	3.0	2.0	3.0	3.0	0	1.0	1.0
Ak208460	8.0	0	4.0	2.0	3.0	4.0	1.0	3.0	1.0
Ak208502	0	0	0	0	0	0	0	1.0	0
Ak208506	4.0	0	0	0	2.0	0	0	0	2.0
Ak208554	2.0	0	0	0	0	1.0	0	0	0
Ak208648	2.0	0	0	1.0	0	0	0	0	0
Ak208673	0	0	2.0	0	0	0	1.0	1.0	0
Ak208745	1.0	0	0	0	0	2.0	0	0	0
Ak209885	7.0	0	4.0	0	4.0	0	1.0	0	0
Ak209947	1.0	0	0	0	0	2.0	0	0	0
Ak210432	7.0	3.0	2.0	1.0	5.0	2.0	2.0	3.0	3.0
Ak210555	2.0	0	0	0	0	0	0	0	0
Ak210685	2.0	0	0	0	0	1.0	0	0	0
Ak210908	2.0	0	0	0	0	0	0	0	0
Ak211100	0	0	0	0	1.0	0	2.0	0	0
Ak211473	3.0	0	2.0	2.0	2.0	2.0	0	1.0	0
Ak211593	0	0	0	1.0	1.0	0	1.0	2.0	0
Ak211817	0	2.0	0	0	0	1.0	0	0	0
Ak212155	4.0	0	1.0	0	0	0	0	0	0
Ak212603	6.0	1.0	4.0	2.0	4.0	3.0	0	1.0	1.0
Ak212710	5.0	2.0	4.0	2.0	2.0	4.0	0	0	0
Ak212965	0	0	2.0	1.0	0	0	0	0	0
Ak213104	7.0	4.0	1.0	2.0	4.0	3.0	1.0	1.0	2.0
Ak213359	23.0	2.0	12.0	2.0	13.0	12.0	1.0	5.0	13.0
Ak213652	1.0	0	0	0	0	0	0	0	0
Ak213804	3.0	0	2.0	0	4.0	1.0	0	0	0
Ak214072	4.0	0	1.0	0	1.0	0	0	0	0
Ak214184	4.0	2.0	4.0	1.0	4.0	3.0	0	1.0	1.0
Ak214451	2.0	0	1.0	0	1.0	0	0	0	0
Ak214463	10.0	5.0	5.0	4.0	8.0	6.0	12.0	3.0	0
Ak214512	7.0	4.0	5.0	2.0	4.0	1.0	1.0	0	0
Ak214604	3.0	0	1.0	0	0	0	0	0	0
Ak214683	14.0	0	6.0	1.0	13.0	6.0	0	4.0	7.0
Ak214897	0	0	0	1.0	1.0	0	3.0	1.0	0
Ak215051	0	1.0	0	0	1.0	0	1.0	0	0
Ak215081	9.0	0	5.0	0	4.0	0	0	0	0
Ak215526	2.0	0	2.0	0	0	0	0	0	0
Ak215772	10.0	0	7.0	1.0	3.0	5.0	0	3.0	1.0
Ak215788	2.0	0	2.0	0	0	0	0	0	0
Ak215907	3.0	0	3.0	0	2.0	2.0	1.0	0	0
Ak216043	4.0	0	3.0	0	3.0	0	2.0	3.0	0
Ak216459	3.0	0	1.0	0	1.0	0	0	0	0
Ak216578	2.0	1.0	0	0	0	0	0	0	0
Ak216671	6.0	1.0	1.0	0	4.0	2.0	0	1.0	0
Ak216694	0	0	2.0	0	0	0	0	0	0
Ak216726	0	0	0	0	0	2.0	0	0	0
Ak217047	1.0	0	0	0	0	0	1.0	0	0
Ak217074	0	0	2.0	0	0	0	0	0	0
Ak217252	0	0	3.0	0	1.0	0	1.0	0	0
Ak217348	3.0	2.0	0	2.0	2.0	2.0	0	0	0
Ak217388	3.0	0	2.0	1.0	1.0	1.0	0	1.0	2.0
Ak217604	0	0	1.0	0	0	0	0	0	0
Ak217854	4.0	0	0	0	0	0	1.0	0	0
Ak217931	1.0	0	0	1.0	2.0	0	0	0	1.0
Ak217941	4.0	0	0	0	1.0	2.0	0	0	0
Ak218226	0	0	1.0	0	0	4.0	5.0	0	0
Ak218261	6.0	0	3.0	0	0	1.0	0	0	0
Ak218396	7.0	0	7.0	0	5.0	4.0	0	4.0	2.0
Ak218399	5.0	0	2.0	0	2.0	3.0	0	0	0
Ak218455	0	0	0	0	3.0	0	0	0	0
Ak218564	6.0	0	2.0	0	4.0	3.0	0	2.0	3.0
Ak218698	4.0	0	3.0	0	0	2.0	0	0	1.0
Ak218719	4.0	1.0	2.0	0	3.0	0	3.0	0	0
Ak218851	3.0	0	3.0	0	3.0	1.0	0	0	1.0
Ak218936	3.0	2.0	3.0	2.0	2.0	2.0	1.0	1.0	0
Ak218987	6.0	2.0	0	3.0	2.0	1.0	0	0	0
Ak219094	3.0	0	2.0	0	3.0	0	0	0	4.0
Ak219146	7.0	0	5.0	0	4.0	3.0	0	0	3.0
Ak219151	9.0	0	4.0	0	9.0	4.0	0	1.0	4.0
Ak219587	3.0	0	4.0	1.0	5.0	2.0	0	2.0	1.0
Ak219638	3.0	0	2.0	0	3.0	1.0	0	0	0
Ak219843	3.0	0	4.0	0	1.0	0	0	0	0
Ak219995	2.0	0	2.0	0	0	2.0	0	0	0
Ak3	9.0	0	3.0	0	1.0	1.0	0	0	0
Ak4	1.0	0	0	2.0	1.0	0	0	0	0
Ak5	12.0	0	8.0	0	2.0	5.0	0	2.0	0
Ak6	0	2.0	1.0	3.0	2.0	4.0	0	1.0	0
Ak7	2.0	0	2.0	0	3.0	0	0	0	0
Ak8	4.0	0	5.0	0	1.0	0	0	0	3.0
Akap10	2.0	0	2.0	0	1.0	0	0	0	0
Akap11	4.0	0	2.0	2.0	2.0	1.0	0	2.0	0
Akap12	4.0	0	5.0	0	2.0	2.0	0	1.0	0
Akap13	11.0	0	7.0	0	9.0	5.0	0	0	5.0
Akap14	0	0	1.0	0	0	2.0	0	0	0
Akap17b	7.0	1.0	4.0	0	3.0	2.0	0	1.0	1.0
Akap2	3.0	0	3.0	0	0	0	0	0	0
Akap3	0	1.0	0	0	2.0	0	0	1.0	0
Akap6	5.0	0	3.0	0	0	2.0	0	0	0
Akap7	2.0	0	2.0	0	1.0	0	0	0	0
Akap8	2.0	1.0	0	0	1.0	1.0	0	0	0
Akap8l	0	0	2.0	0	0	1.0	0	0	0
Akap9	6.0	0	1.0	1.0	0	0	0	0	0
Akip1	3.0	0	2.0	0	1.0	2.0	0	1.0	0
Akirin1	3.0	0	4.0	0	3.0	0	0	1.0	0
Akirin2	3.0	1.0	1.0	0	1.0	0	0	0	0
Akna	13.0	0	9.0	5.0	10.0	15.0	1.0	4.0	6.0
Aknad1	5.0	0	2.0	0	3.0	4.0	0	1.0	1.0
Akr1a1	1.0	2.0	2.0	0	3.0	1.0	3.0	0	0
Akr1b10	3.0	0	2.0	0	2.0	4.0	0	0	0
Akr1b3	3.0	0	0	0	2.0	2.0	0	0	0
Akr1b8	1.0	0	2.0	0	0	2.0	0	0	0
Akr1c18	2.0	0	0	0	0	0	0	0	0
Akr1cl	1.0	0	1.0	0	0	0	0	0	0
Akr1d1	5.0	0	5.0	0	4.0	4.0	0	2.0	1.0
Akr1e1	1.0	0	0	0	0	0	0	0	0
Akr7a5	1.0	0	0	0	0	0	0	0	0
Akt1	1.0	1.0	2.0	0	1.0	0	2.0	1.0	2.0
Akt1s1	5.0	8.0	4.0	3.0	1.0	3.0	0	0	0
Akt2	2.0	0	2.0	0	0	0	1.0	0	0
Akt3	12.0	1.0	4.0	0	3.0	3.0	0	1.0	0
Aktip	0	2.0	0	0	0	0	0	0	0
Alad	3.0	0	1.0	1.0	1.0	3.0	0	0	0
Alas1	6.0	0	4.0	0	1.0	5.0	0	1.0	0
Alcam	17.0	0	9.0	0	7.0	3.0	0	1.0	1.0
Aldh16a1	3.0	2.0	2.0	2.0	1.0	1.0	0	1.0	4.0
Aldh18a1	6.0	0	1.0	0	3.0	2.0	3.0	0	3.0
Aldh1a3	2.0	0	0	0	0	0	0	0	0
Aldh1b1	3.0	0	2.0	0	3.0	2.0	0	0	0
Aldh1l1	5.0	0	0	0	0	0	0	0	0
Aldh1l2	5.0	2.0	2.0	1.0	2.0	0	1.0	0	0
Aldh2	0	0	0	0	1.0	1.0	0	0	0
Aldh3a1	2.0	0	2.0	0	0	0	0	0	0
Aldh3a2	4.0	1.0	4.0	0	3.0	1.0	0	0	0
Aldh3b1	1.0	1.0	2.0	0	0	0	0	0	2.0
Aldh3b2	3.0	0	0	0	0	0	0	0	0
Aldh3b3	6.0	0	2.0	0	0	2.0	0	0	0
Aldh4a1	4.0	2.0	5.0	0	0	5.0	0	0	0
Aldh5a1	2.0	0	0	0	0	0	0	0	0
Aldh6a1	1.0	0	0	0	0	2.0	0	0	0
Aldh7a1	2.0	0	1.0	0	0	7.0	0	0	0
Aldh8a1	3.0	0	2.0	0	1.0	0	0	0	0
Aldh9a1	1.0	0	0	2.0	1.0	2.0	1.0	0	0
Aldoa	2.0	3.0	5.0	2.0	3.0	3.0	9.0	0	0
Aldoc	0	0	2.0	2.0	3.0	2.0	0	0	0
Alg1	5.0	0	2.0	1.0	2.0	3.0	0	0	0
Alg10b	4.0	2.0	1.0	0	2.0	0	0	0	0
Alg11	8.0	1.0	4.0	4.0	1.0	2.0	0	1.0	1.0
Alg12	4.0	2.0	3.0	1.0	3.0	3.0	0	0	0
Alg14	19.0	2.0	13.0	0	12.0	8.0	0	3.0	8.0
Alg2	4.0	1.0	2.0	2.0	1.0	3.0	0	0	0
Alg3	2.0	3.0	0	1.0	5.0	2.0	0	1.0	0
Alg5	6.0	2.0	2.0	1.0	3.0	2.0	1.0	0	0
Alg6	3.0	0	2.0	0	1.0	2.0	0	0	0
Alg8	4.0	3.0	3.0	1.0	3.0	1.0	1.0	3.0	0
Alg9	0	0	0	1.0	0	2.0	0	0	0
Alk	4.0	0	2.0	0	1.0	0	0	0	0
Alkbh1	6.0	2.0	1.0	2.0	5.0	2.0	0	0	0
Alkbh2	1.0	0	2.0	1.0	2.0	2.0	0	1.0	0
Alkbh3	5.0	2.0	2.0	0	3.0	0	0	2.0	0
Alkbh3os1	4.0	0	2.0	0	5.0	4.0	0	3.0	1.0
Alkbh4	5.0	2.0	3.0	0	2.0	1.0	0	0	0
Alkbh5	4.0	0	0	2.0	2.0	2.0	3.0	0	1.0
Alkbh6	4.0	2.0	2.0	2.0	2.0	2.0	0	0	0
Alkbh7	0	2.0	4.0	0	2.0	1.0	0	4.0	4.0
Allc	2.0	0	1.0	0	0	0	0	0	1.0
Alms1	11.0	0	7.0	0	0	2.0	0	0	0
Alox12	3.0	0	2.0	0	1.0	1.0	0	0	0
Alox12b	8.0	0	4.0	0	2.0	0	0	0	0
Alox12e	0	0	1.0	0	0	0	0	0	0
Alox5	1.0	0	0	0	0	0	0	0	0
Alox5ap	6.0	0	2.0	0	0	3.0	0	0	0
Alox8	5.0	0	2.0	0	1.0	2.0	0	0	0
Aloxe3	17.0	2.0	11.0	2.0	14.0	5.0	0	8.0	2.0
Alpi	0	0	2.0	0	0	1.0	0	0	0
Alpk2	69.0	3.0	36.0	3.0	31.0	25.0	1.0	8.0	24.0
Als2	6.0	0	2.0	0	2.0	0	0	0	0
Als2cl	7.0	1.0	6.0	0	2.0	2.0	0	0	5.0
Als2cr12	4.0	0	5.0	1.0	4.0	1.0	0	0	0
Alx3	2.0	0	0	0	0	0	0	0	0
Alyref	3.0	2.0	3.0	2.0	2.0	1.0	0	1.0	0
Alyref2	6.0	2.0	4.0	2.0	5.0	4.0	2.0	3.0	3.0
Amacr	2.0	0	2.0	0	0	0	0	0	3.0
Ambn	2.0	0	0	0	1.0	0	0	0	0
Ambra1	10.0	1.0	3.0	0	3.0	2.0	0	1.0	0
Amd1	9.0	2.0	5.0	1.0	3.0	4.0	0	1.0	0
Amdhd1	1.0	0	2.0	0	1.0	0	0	1.0	0
Amdhd2	7.0	0	8.0	2.0	3.0	3.0	0	2.0	1.0
Amfr	8.0	0	7.0	1.0	7.0	1.0	1.0	1.0	3.0
Amh	3.0	2.0	3.0	3.0	4.0	1.0	0	1.0	3.0
Amhr2	3.0	0	2.0	0	1.0	1.0	0	0	0
Amica1	9.0	0	4.0	0	6.0	2.0	0	0	2.0
Amigo1	3.0	0	0	0	1.0	0	0	0	0
Amigo2	3.0	0	0	0	8.0	0	0	0	0
Amigo3	0	0	0	1.0	2.0	0	0	0	0
Ammecr1	39.0	0	15.0	0	11.0	10.0	0	1.0	3.0
Ammecr1l	0	2.0	0	2.0	0	0	0	0	0
Amn1	5.0	3.0	4.0	0	4.0	4.0	0	1.0	6.0
Amotl1	3.0	0	6.0	0	1.0	2.0	0	1.0	0
Amotl2	2.0	0	0	0	0	0	0	0	0
Ampd1	6.0	0	2.0	2.0	1.0	0	0	0	1.0
Ampd2	1.0	0	1.0	0	2.0	1.0	0	0	0
Ampd3	6.0	0	3.0	0	4.0	2.0	2.0	1.0	1.0
Amph	0	0	1.0	0	0	0	0	0	0
Amt	3.0	3.0	1.0	2.0	2.0	2.0	0	0	0
Amz1	5.0	0	0	0	0	0	0	1.0	0
Amz2	21.0	5.0	14.0	8.0	10.0	9.0	0	4.0	7.0
Anapc1	2.0	0	2.0	0	0	1.0	0	0	0
Anapc10	6.0	1.0	2.0	1.0	3.0	0	0	1.0	1.0
Anapc11	4.0	2.0	4.0	2.0	2.0	2.0	0	1.0	0
Anapc13	3.0	2.0	2.0	1.0	2.0	0	0	0	0
Anapc15	4.0	4.0	2.0	2.0	3.0	2.0	0	1.0	0
Anapc16	4.0	2.0	2.0	1.0	3.0	4.0	0	0	1.0
Anapc2	1.0	0	0	0	1.0	1.0	0	0	0
Anapc7	3.0	0	1.0	0	2.0	0	0	0	0
Ang	4.0	0	1.0	0	0	2.0	0	0	0
Angel1	6.0	0	5.0	0	2.0	1.0	0	0	0
Angel2	4.0	1.0	0	0	1.0	0	0	0	1.0
Angpt1	3.0	0	4.0	0	1.0	0	0	0	0
Angpt2	4.0	0	2.0	0	0	0	0	0	0
Angpt4	0	0	1.0	0	0	0	0	0	0
Angptl2	4.0	0	8.0	0	0	0	0	0	0
Angptl4	4.0	0	4.0	2.0	5.0	2.0	2.0	2.0	3.0
Angptl6	9.0	3.0	6.0	2.0	5.0	7.0	0	2.0	0
Angptl7	6.0	0	3.0	0	0	3.0	0	0	0
Ank	11.0	0	7.0	0	4.0	4.0	0	1.0	2.0
Ank1	0	0	0	0	0	2.0	0	0	0
Ankdd1b	1.0	0	0	0	0	3.0	0	0	0
Ankfy1	6.0	0	3.0	0	3.0	4.0	0	1.0	0
Ankhd1	1.0	0	0	0	0	0	0	0	0
Ankle1	7.0	2.0	3.0	0	0	3.0	0	2.0	0
Ankle2	4.0	1.0	4.0	1.0	2.0	1.0	0	1.0	0
Ankmy1	7.0	2.0	4.0	0	3.0	4.0	1.0	2.0	0
Ankra2	0	2.0	2.0	1.0	0	1.0	0	0	0
Ankrd10	5.0	0	4.0	0	4.0	1.0	0	0	0
Ankrd11	3.0	0	2.0	0	1.0	2.0	0	0	0
Ankrd12	5.0	0	7.0	1.0	5.0	2.0	0	0	2.0
Ankrd13a	3.0	1.0	4.0	1.0	3.0	1.0	0	0	0
Ankrd13b	3.0	0	0	0	1.0	3.0	1.0	0	0
Ankrd13c	5.0	2.0	4.0	1.0	3.0	1.0	1.0	2.0	0
Ankrd13d	0	0	0	1.0	0	2.0	5.0	0	0
Ankrd16	0	3.0	1.0	0	1.0	0	0	0	0
Ankrd17	3.0	0	2.0	0	1.0	2.0	1.0	0	0
Ankrd22	18.0	0	10.0	0	8.0	2.0	0	1.0	2.0
Ankrd24	1.0	2.0	2.0	2.0	1.0	1.0	0	1.0	1.0
Ankrd27	0	0	0	0	1.0	0	0	0	0
Ankrd28	5.0	0	2.0	0	0	0	0	0	0
Ankrd29	1.0	0	2.0	0	0	0	0	0	0
Ankrd33	4.0	0	1.0	0	0	0	0	0	0
Ankrd33b	23.0	0	16.0	0	1.0	13.0	0	4.0	4.0
Ankrd34a	6.0	0	3.0	1.0	0	2.0	0	0	0
Ankrd35	1.0	0	0	0	1.0	0	0	0	0
Ankrd36	0	0	0	0	1.0	0	0	0	0
Ankrd37	1.0	0	0	2.0	0	0	0	2.0	0
Ankrd39	0	0	2.0	0	3.0	3.0	0	0	0
Ankrd40	8.0	4.0	9.0	1.0	5.0	2.0	1.0	3.0	0
Ankrd42	5.0	2.0	2.0	0	2.0	2.0	0	0	0
Ankrd44	69.0	1.0	38.0	2.0	32.0	26.0	0	6.0	8.0
Ankrd45	5.0	0	4.0	0	1.0	0	0	1.0	0
Ankrd46	9.0	0	2.0	2.0	6.0	6.0	1.0	2.0	3.0
Ankrd49	10.0	2.0	5.0	0	6.0	1.0	0	1.0	0
Ankrd49 	10.0	2.0	5.0	0	6.0	1.0	0	1.0	0
Ankrd50	3.0	0	4.0	0	0	3.0	0	0	0
Ankrd52	2.0	0	0	0	0	1.0	1.0	0	0
