	Batf	Etv6	Fosl2	Hif1a	Irf4	Maf	Nfe2l2	Rorc	Stat3
Gm12169	2.0	0	0	0	1.0	2.0	0	0	0
Gm12171	4.0	0	2.0	0	0	0	0	0	0
Gm12185	13.0	0	6.0	0	3.0	1.0	0	0	1.0
Gm12216	9.0	1.0	8.0	0	6.0	4.0	0	1.0	1.0
Gm12250	7.0	0	3.0	0	9.0	3.0	0	1.0	4.0
Gm12253	1.0	0	2.0	0	1.0	0	0	0	0
Gm12260	3.0	2.0	1.0	1.0	1.0	4.0	0	2.0	1.0
Gm12298	2.0	0	2.0	0	1.0	0	0	0	1.0
Gm12348	2.0	0	5.0	0	1.0	0	0	3.0	0
Gm12359	0	0	1.0	2.0	4.0	2.0	0	1.0	0
Gm12505	1.0	0	0	0	0	0	0	0	0
Gm12522	3.0	0	0	0	1.0	0	0	0	0
Gm12530	1.0	0	0	0	0	0	0	0	0
Gm12596	12.0	0	11.0	2.0	7.0	7.0	0	0	0
Gm12603	14.0	0	10.0	0	6.0	4.0	0	3.0	3.0
Gm12610	34.0	0	24.0	0	12.0	13.0	1.0	4.0	7.0
Gm12657	6.0	2.0	3.0	0	3.0	0	2.0	1.0	0
Gm12709	14.0	0	11.0	0	4.0	6.0	0	2.0	4.0
Gm128	8.0	3.0	4.0	1.0	6.0	5.0	3.0	1.0	0
Gm12942	1.0	0	3.0	0	0	1.0	0	0	1.0
Gm12992	0	0	1.0	0	0	0	1.0	0	0
Gm13030	5.0	0	4.0	0	1.0	3.0	0	2.0	0
Gm13031	7.0	2.0	4.0	1.0	6.0	6.0	0	3.0	1.0
Gm13032	2.0	0	1.0	0	1.0	0	0	0	1.0
Gm13157	0	0	0	0	1.0	0	0	0	0
Gm13271	1.0	0	1.0	0	2.0	0	0	0	0
Gm13283	1.0	0	1.0	0	2.0	0	0	0	0
Gm13286	1.0	0	1.0	0	2.0	0	0	0	0
Gm13293	3.0	0	3.0	0	2.0	0	0	0	1.0
Gm13315	0	0	2.0	0	0	2.0	0	0	0
Gm13375	3.0	0	3.0	0	2.0	0	0	0	0
Gm13446	2.0	0	0	0	0	0	0	1.0	0
Gm13483	7.0	0	2.0	0	3.0	2.0	0	0	0
Gm13497	1.0	0	3.0	0	0	2.0	0	0	0
Gm13544	2.0	0	3.0	0	0	0	0	0	0
Gm13546	29.0	8.0	20.0	8.0	19.0	16.0	1.0	11.0	16.0
Gm136	2.0	0	2.0	0	0	0	0	0	0
Gm13749	1.0	0	1.0	0	0	0	0	0	0
Gm13807	8.0	0	6.0	0	4.0	7.0	3.0	2.0	4.0
Gm13830	3.0	2.0	3.0	4.0	5.0	2.0	2.0	1.0	0
Gm13986	8.0	0	8.0	0	2.0	0	0	0	0
Gm14005	54.0	0	37.0	6.0	42.0	28.0	2.0	13.0	34.0
