	Atf6	Batf	Bcl11b	Crem	Ddit3	Egr2	Etv6	Fosl2	Hif1a	Id2	Ikzf3	Ikzf4	Irf4	Irf8	Lef1	Maf	Nfatc2	Nfe2l2	Pou2af1	Prkrir	Rorc	Satb1	Sp4	Stat3	Zeb1	Zfp36l2
2810474O19Rik	0	-0.664171214339	-0.687023570222	0	0	-0.681634852426	0	0	0	0.670303173396	0	0	-0.656075488073	0	0	0	0	0	0.255150915319	0	-0.646111239272	0	0	0	0	-0.682917880473
2900026A02Rik	-0.634188113848	0	0.595197979532	0	0	0	0	0	0	-0.605390458988	0	0	-0.688827037814	0	0	-0.673947526638	0	0	0	0	0	0	0	-0.683076903668	0	0.635717753845
2900060B14Rik	0	0	0	0	0	0	0	0	0	0	-0.684797245499	0	0	0	0	0	0	0	0	0	0	0	0.942348266304	0	0	0
2900097C17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.653093544587	0	0	0	0	0	0	0	0	0	0	0
3010026O09Rik	0	0	0.665487444507	0.667733597784	0	0.67454623705	0	0	0	0	0	0	0	0	0.652681106931	0	0	0	0	0.629409534733	0	0	0	0	0	0
3110001I22Rik	0	0	0	0	-0.610262351402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110009E18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01659477375	0	0	0	-0.647481007243	0	0	0	0	0	0	0	0
3110040N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.567250122722	0	0	0	0	0	0	0	0	0	0	0	0
3110043O21Rik	0	0	0.594545200508	0	0	0	0	0	0	0	0	0	0.643094156814	0	0	-0.617302741922	0	0	0	0	0	0	0	0	0	0.661211741901
3110052M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	-0.618770092308	0	0	0	0	0	0	0	0	0	0	0	0	0
3110082I17Rik	0	0	0	0	0	0	0	-0.676589480164	0	0	-0.653935903274	0	0	0	0	0	0	0	0	0	0	0	-0.692928597489	0	-0.643732413306	0
3830406C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.658300940891	0	0	0	0	0	0	0	0	0
4632415L05Rik	0	0	0	0	0	0	0	0	0	0.661873422457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4632428N05Rik	0	0	0	0	0	0.240868768432	0.412581092722	0	0	0	0	0	0	0	0	0	0	0	0.212168357554	0	0	0	-0.539050598908	0	0	0
4833420G17Rik	0	0	0	0	0	0	0.311457427195	0	0	0	0	0	0	0.352561210715	0	0	0	0	0	0	0	0	0	0	0.316621519097	0
4833439L19Rik	0	0	0	0	0	0	0	-0.617913535556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921524J17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.62326972588	0	0	0	0	0	0	0	0	0	0	0
4921533I20Rik	0	0	0	0	0	0	0	0	0	0.600981008247	-0.644817368735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930404N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603066933946	0	0	0	0	0	0	0	0
4930417O13Rik	0	0	0	0	-0.68462376565	0	0	0	0.684361659827	0	0	0	0	0	0	-0.653697368483	0	0	0	0	0	0	0	0.682121440904	0	0
4930427A07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5919489203	0	0	0	0	0	0	0	0	0	0	0
4930430F08Rik	0	0	0	0	0	-0.545823618865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.684033225311	0
4930452B06Rik	0	0.602307336537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930453N24Rik	0	0	0	0	0	0	0	0	0	0	-0.64132247262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930481A15Rik	0	0	0	0	0	0	0	0	0.617208501343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930486L24Rik	0	0	0	0	0	0	0.741632252675	0	0	0	0	0	0	0.76720197015	0	0	0	0	0	0	0	0	0	0	0.974186534643	0
4930503L19Rik	0	0.619128265108	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.615622155889	0	0	0	0	0	0	0	0	0	0
4930512M02Rik	0	0	0	0	0	-0.448977493046	0	0	0	0	0	-0.303782929924	0	-0.497893084952	0	0	0	0	0	0	0	0	0	0	0.421819742686	0
4931406C07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.639602130788	0	0	0	0	0	0	0	0	0	0
4932438A13Rik	0	0	-0.679357929414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597651835226	0	0
4932438H23Rik	0.614454960734	0.67206567676	0	0	0	0	0	0.688165581228	0.685634578922	0.654986603756	0.682136276791	0	0	0	0	0	0	0.663193816392	0	0	-0.683778051388	0	0	0.682382552514	0	0
4933404O12Rik	0	-0.601270312585	0.683148084278	0.675196048897	0	0.683284574437	0	0	0	-0.667261324141	0	0	0	0	0.676400722913	-0.688068063477	0	0	0	0	0	0.673403873759	0	0	0	0.684821572321
4933430I17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.766369148393	0
4933434E20Rik	0.62481337697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5031439G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667858219234	0	0	0	0	0	0	0	0	0	0	0
5730416F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.606145819162	0	0	0	0	0	0	0	0
5730455P16Rik	0	0	0.654084581832	0.664036494768	0	0.666893886585	0	0	0	0	0	0	0	0	0.679341195698	0	0.672424705223	0	0	0.661437247382	0	0.66616396095	-0.52920001898	0	0	0.667721729075
5730508B09Rik	0	0	0	0	0	0	-0.66878288698	-0.60812999493	0	-0.637726379925	0	0	0	0	0	0	0	0	0	0	-0.628069335023	0	0.455263954055	0	0	0
6030458C11Rik	0	-0.621549384048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6530402F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.637581813385	0	0	0	0	0	0.626062558648	0	0	0	0
9030617O03Rik	0.628148484346	0	-0.682140835318	-0.640483986685	-0.614049994762	-0.678841104032	0	0	-0.661467820032	0.630192869561	-0.67900374139	0	0	0	0	-0.681631238262	0	0	0	0	0	0	0	0	0	-0.667557685549
9030624J02Rik	0	0	-0.612654927646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9130401M01Rik	0	0	0	0	0	0.208749907817	0	0	0	0	-0.661648528208	0.288823182539	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9230114K14Rik	0	-0.623428749074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9330151L19Rik	0	0	0	0	0	0	0	0	0.593046775931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9430015G10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.619243985026	0	0	0	0	0	0	0	0	0	0	0
9430016H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.642442863308	0	0	0	0	0	0	0	0
