Regulator	Target	Weight	stroke
Hif1a	Anxa2	1.7967	rgb(222,131,132)
Irf4	Anxa4	1.8992	rgb(222,126,127)
Rorc	Anxa4	-1.5518	rgb(133,166,232)
Batf	Anxa5	1.6611	rgb(222,138,138)
Batf	Anxa6	1.8147	rgb(222,130,131)
Maf	Anxa6	-1.8647	rgb(116,155,235)
Hif1a	Apba3	1.7893	rgb(222,131,132)
Batf	Apbb1ip	-1.945	rgb(111,153,235)
Irf4	Apbb1ip	-1.9489	rgb(111,153,236)
Hif1a	Apbb3	1.8489	rgb(222,129,130)
Fosl2	Aplp1	1.6189	rgb(221,140,140)
Irf4	Appl1	1.832	rgb(222,129,130)
Maf	Appl1	-1.6567	rgb(127,162,233)
Hif1a	Appl2	1.7114	rgb(222,135,136)
Irf4	Aqp3	1.6531	rgb(222,138,139)
Fosl2	Aqp3	1.8862	rgb(222,127,128)
Batf	Arap2	1.6879	rgb(222,136,137)
Irf4	Arc	-1.6045	rgb(130,164,232)
Stat3	Arc	-1.6208	rgb(129,163,232)
Batf	Arf2	-1.596	rgb(130,164,232)
Maf	Arf6	-1.7947	rgb(120,158,234)
Stat3	Arf6	1.7125	rgb(222,135,136)
Batf	Arhgap10	-1.9001	rgb(114,154,235)
Irf4	Arhgap12	1.944	rgb(222,124,125)
Stat3	Arhgap12	1.7157	rgb(222,135,136)
Fosl2	Arhgap15	1.6058	rgb(221,140,141)
Batf	Arhgap17	1.8399	rgb(222,129,130)
Batf	Arhgap18	1.9653	rgb(222,123,124)
Rorc	Arhgap18	-1.7901	rgb(120,158,234)
Fosl2	Arhgap18	1.9786	rgb(222,122,123)
Fosl2	Arhgap21	-1.8033	rgb(119,157,234)
Rorc	Arhgap25	-1.6994	rgb(125,161,233)
Hif1a	Arhgap30	1.5403	rgb(221,143,144)
Batf	Arhgap31	-1.6483	rgb(127,163,233)
Maf	Arhgap39	-1.8563	rgb(116,156,235)
Fosl2	Arhgap39	-1.9032	rgb(114,154,235)
Hif1a	Arhgdia	1.8585	rgb(222,128,129)
Hif1a	Arhgdig	1.8781	rgb(222,127,128)
Irf4	Arhgef1	-1.844	rgb(117,156,235)
Batf	Arhgef10	1.8029	rgb(222,131,132)
Stat3	Arhgef10	1.8426	rgb(222,129,130)
Rorc	Arhgef10	-1.7353	rgb(123,160,234)
Fosl2	Arhgef10	1.9401	rgb(222,124,125)
Hif1a	Arhgef10	1.7841	rgb(222,132,133)
Irf4	Arhgef3	-1.95	rgb(111,153,236)
Maf	Arhgef3	-1.9934	rgb(109,151,236)
Fosl2	Arhgef3	-1.9784	rgb(110,152,236)
Hif1a	Arhgef3	-1.5262	rgb(134,167,232)
Maf	Arhgef40	-1.5314	rgb(134,166,232)
Maf	Arhgef9	-1.6595	rgb(127,162,233)
Hif1a	Arhgef9	1.7062	rgb(222,135,136)
Batf	Arid4a	-1.8563	rgb(116,156,235)
Irf4	Arid5a	1.967	rgb(222,123,124)
Stat3	Arid5a	1.9824	rgb(222,122,123)
Rorc	Arid5a	-1.9436	rgb(111,153,235)
Fosl2	Arid5a	1.9171	rgb(222,125,126)
Hif1a	Arid5a	1.8287	rgb(222,130,131)
Batf	Arid5b	-1.9398	rgb(112,153,235)
Stat3	Arid5b	1.9221	rgb(222,125,126)
Hif1a	Arih2	1.5757	rgb(221,142,142)
Irf4	Arl10	1.8758	rgb(222,127,128)
Batf	Arl4c	1.9126	rgb(222,126,127)
Irf4	Arl4c	1.8651	rgb(222,128,129)
Maf	Arl4c	-1.9067	rgb(113,154,235)
Stat3	Arl4c	1.7911	rgb(222,131,132)
Fosl2	Arl4c	1.8108	rgb(222,130,131)
Fosl2	Arl5c	1.5594	rgb(221,142,143)
Batf	Arl6ip1	-1.8716	rgb(115,155,235)
Hif1a	Arl6ip5	1.8397	rgb(222,129,130)
Fosl2	Armc6	-1.5629	rgb(132,165,232)
Irf4	Armcx6	1.6784	rgb(222,137,138)
Rorc	Arntl	1.9123	rgb(222,126,127)
Hif1a	Arpc2	1.7883	rgb(222,132,132)
Fosl2	Arrb1	1.5022	rgb(221,145,146)
Hif1a	Arrb1	1.8302	rgb(222,130,130)
Irf4	Arsb	-1.7514	rgb(122,159,234)
Fosl2	Arsb	-1.7664	rgb(121,159,234)
Batf	Asb2	1.9042	rgb(222,126,127)
Irf4	Asb2	-1.8269	rgb(118,157,234)
Maf	Asb2	-1.9448	rgb(111,153,235)
Rorc	Asb2	-1.7487	rgb(122,159,234)
Fosl2	Asb2	1.9213	rgb(222,125,126)
Batf	Asph	1.9544	rgb(222,124,125)
Irf4	Asph	1.9358	rgb(222,124,125)
Hif1a	Asph	1.6768	rgb(222,137,138)
Batf	Atad1	-1.8302	rgb(118,157,234)
Batf	Atad5	-1.6594	rgb(127,162,233)
Batf	Atf3	-1.7778	rgb(120,158,234)
Hif1a	Atf5	-1.6634	rgb(127,162,233)
Irf4	Atf6	1.9238	rgb(222,125,126)
Stat3	Atf6	1.6852	rgb(222,136,137)
Hif1a	Atg2b	1.6266	rgb(221,139,140)
Irf4	Atg3	1.641	rgb(222,139,139)
Hif1a	Atg9a	1.929	rgb(222,125,126)
Batf	Atg9b	1.8258	rgb(222,130,131)
Stat3	Atg9b	1.7005	rgb(222,136,137)
Hif1a	Atg9b	1.9013	rgb(222,126,127)
Rorc	Atl3	-1.5021	rgb(135,167,231)
Maf	Atp10a	-1.9294	rgb(112,153,235)
Stat3	Atp10a	1.6547	rgb(222,138,139)
Fosl2	Atp10a	-1.9847	rgb(109,151,236)
Batf	Atp10d	1.9205	rgb(222,125,126)
Irf4	Atp10d	1.905	rgb(222,126,127)
Stat3	Atp10d	1.7204	rgb(222,135,136)
Fosl2	Atp10d	1.7459	rgb(222,134,134)
Fosl2	Atp11b	1.726	rgb(222,135,135)
Hif1a	Atp11b	1.608	rgb(221,140,141)
Batf	Atp1a1	-1.6435	rgb(128,163,233)
Irf4	Atp1a1	-1.6312	rgb(128,163,233)
Fosl2	Atp1a1	-1.7523	rgb(122,159,234)
Fosl2	Atp2a2	-1.7851	rgb(120,158,234)
Maf	Atp2a3	-1.7244	rgb(123,160,233)
Batf	Atp2b1	-1.5398	rgb(133,166,232)
Hif1a	Atp5d	1.8648	rgb(222,128,129)
Nfe2l2	Atp5j	-1.6098	rgb(130,164,232)
Batf	Atp6v0a1	1.8612	rgb(222,128,129)
Stat3	Atp6v0a1	1.7032	rgb(222,136,136)
Fosl2	Atp6v0a1	1.8614	rgb(222,128,129)
Etv6	Atp6v0a1	-1.6746	rgb(126,162,233)
Stat3	Atp6v0c	-1.6433	rgb(128,163,233)
Hif1a	Atp6v0d1	1.6422	rgb(222,139,139)
Batf	Atp6v0d2	1.8116	rgb(222,130,131)
Batf	Atp8b4	1.9645	rgb(222,123,124)
Irf4	Atp8b4	-1.9758	rgb(110,152,236)
Maf	Atp8b4	-1.9541	rgb(111,152,236)
Rorc	Atp8b4	-1.641	rgb(128,163,233)
Batf	Atrnl1	1.931	rgb(222,125,126)
Irf4	Atrnl1	1.9184	rgb(222,125,126)
Stat3	Atrnl1	1.8951	rgb(222,126,127)
Irf4	Atxn1	1.9968	rgb(222,122,123)
Maf	Atxn1	-1.9859	rgb(109,151,236)
Stat3	Atxn1	1.9403	rgb(222,124,125)
Hif1a	Atxn7l1	1.6061	rgb(221,140,141)
Hif1a	Atxn7l2	1.8066	rgb(222,131,132)
Rorc	Auh	-1.9332	rgb(112,153,235)
Fosl2	Auh	1.9159	rgb(222,125,126)
Batf	Aurkb	-1.7853	rgb(120,158,234)
Hif1a	Aurkb	1.8302	rgb(222,130,130)
Irf4	Avpi1	1.9247	rgb(222,125,126)
Stat3	Avpi1	1.8938	rgb(222,126,127)
Rorc	Avpi1	1.9603	rgb(222,123,124)
Hif1a	Avpi1	1.5407	rgb(221,143,144)
Irf4	Axin2	1.7005	rgb(222,136,137)
Stat3	Axl	1.8978	rgb(222,126,127)
Fosl2	Axl	-1.9402	rgb(112,153,235)
Etv6	Axl	1.5973	rgb(221,141,141)
Batf	B2m	-1.7948	rgb(120,158,234)
Stat3	B2m	-1.5884	rgb(131,165,232)
Fosl2	B2m	1.7797	rgb(222,132,133)
Etv6	B3gat3	-1.663	rgb(127,162,233)
Maf	B3gnt2	-1.8648	rgb(116,155,235)
Fosl2	B3gnt2	-1.7865	rgb(120,158,234)
Fosl2	B430306N03Rik	1.533	rgb(221,144,144)
