Regulator	Target	Weight	stroke
Irf4	E130308A19Rik	1.8986	rgb(222,126,127)
Hif1a	E2f1	1.7831	rgb(222,132,133)
Batf	E2f2	-1.7249	rgb(123,160,233)
Hif1a	E330009J07Rik	1.5987	rgb(221,141,141)
Rorc	Ebf1	-1.5058	rgb(135,167,231)
Batf	Ebi3	1.8946	rgb(222,126,127)
Irf4	Ebi3	1.9529	rgb(222,124,125)
Maf	Ebi3	-1.9392	rgb(112,153,235)
Rorc	Ebi3	1.8178	rgb(222,130,131)
Fosl2	Ece1	-1.8461	rgb(117,156,235)
Maf	Ech1	-1.5847	rgb(131,165,232)
Batf	Ecm1	1.6894	rgb(222,136,137)
Irf4	Ecm1	-1.5526	rgb(133,166,232)
Fosl2	Ecm1	1.8328	rgb(222,129,130)
Hif1a	Ecsit	1.7411	rgb(222,134,135)
Batf	Edem1	1.8561	rgb(222,128,129)
Irf4	Edem1	1.9067	rgb(222,126,127)
Maf	Edem1	-1.6539	rgb(127,162,233)
Fosl2	Edem2	1.8761	rgb(222,127,128)
Hif1a	Edem2	1.5549	rgb(221,143,143)
Irf4	Efemp2	1.7251	rgb(222,135,135)
Maf	Efemp2	-1.6808	rgb(126,161,233)
Stat3	Efemp2	1.9098	rgb(222,126,127)
Rorc	Efemp2	-1.7685	rgb(121,159,234)
Hif1a	Efemp2	1.814	rgb(222,130,131)
Batf	Egfr	-1.9451	rgb(111,153,235)
Hif1a	Egln1	1.7647	rgb(222,133,134)
Irf4	Egln3	1.9575	rgb(222,123,124)
Maf	Egln3	1.7842	rgb(222,132,133)
Stat3	Egln3	1.591	rgb(221,141,142)
Rorc	Egln3	-1.5836	rgb(131,165,232)
Fosl2	Egln3	1.8888	rgb(222,127,128)
Hif1a	Egln3	1.9685	rgb(222,123,124)
Batf	Egr1	-1.8259	rgb(118,157,234)
Irf4	Egr1	-1.9111	rgb(113,154,235)
Maf	Egr1	-1.885	rgb(115,155,235)
Fosl2	Egr1	-1.747	rgb(122,159,234)
Maf	Egr2	-1.9679	rgb(110,152,236)
Stat3	Egr2	1.8408	rgb(222,129,130)
Rorc	Egr2	1.9025	rgb(222,126,127)
Fosl2	Egr2	-1.9553	rgb(111,152,236)
Rorc	Egr3	1.6447	rgb(222,138,139)
Nfe2l2	Egr3	-1.6618	rgb(127,162,233)
Stat3	Ehbp1l1	1.6515	rgb(222,138,139)
Hif1a	Ehbp1l1	1.7499	rgb(222,133,134)
Batf	Ehd1	1.8163	rgb(222,130,131)
Maf	Ehd1	-1.9561	rgb(111,152,236)
Fosl2	Ehd1	-1.7165	rgb(124,160,233)
Batf	Ehd2	1.5235	rgb(221,144,145)
Irf4	Ehd2	1.8787	rgb(222,127,128)
Stat3	Ehd2	1.7864	rgb(222,132,133)
Fosl2	Ehd2	-1.7518	rgb(122,159,234)
Batf	Ehd3	1.7814	rgb(222,132,133)
Maf	Ehd3	-1.7431	rgb(122,159,234)
Fosl2	Ehd3	-1.8496	rgb(117,156,235)
Stat3	Ehd4	1.9187	rgb(222,125,126)
Fosl2	Eid1	1.8109	rgb(222,130,131)
Hif1a	Eid1	1.8691	rgb(222,128,129)
Nfe2l2	Eid2	1.7262	rgb(222,134,135)
Hif1a	Eif1b	1.5276	rgb(221,144,145)
Irf4	Eif2ak3	1.5388	rgb(221,143,144)
Fosl2	Eif4e	-1.6711	rgb(126,162,233)
Batf	Eif4e3	1.9506	rgb(222,124,125)
Rorc	Eif4e3	-1.8845	rgb(115,155,235)
Fosl2	Eif4e3	1.9423	rgb(222,124,125)
Batf	Elk3	-1.9093	rgb(113,154,235)
Irf4	Elk3	-1.8933	rgb(114,154,235)
Stat3	Elk3	1.6779	rgb(222,137,138)
Fosl2	Elk3	-1.8967	rgb(114,154,235)
Irf4	Ell2	-1.8864	rgb(115,155,235)
Batf	Elovl5	-1.8691	rgb(116,155,235)
Rorc	Elovl5	-1.5115	rgb(135,167,231)
Stat3	Elovl6	1.6884	rgb(222,136,137)
Rorc	Elovl6	-1.6794	rgb(126,162,233)
Hif1a	Elovl6	1.5346	rgb(221,144,144)
Batf	Emb	1.973	rgb(222,123,124)
Maf	Emb	-1.9742	rgb(110,152,236)
Stat3	Emb	1.9715	rgb(222,123,124)
Irf4	Emd	1.8073	rgb(222,131,132)
Hif1a	Emilin1	1.6089	rgb(221,140,141)
Batf	Eml4	-1.8061	rgb(119,157,234)
Batf	Emp1	1.8388	rgb(222,129,130)
Irf4	Emp1	1.8386	rgb(222,129,130)
Maf	Emp1	1.9091	rgb(222,126,127)
Stat3	Emp1	1.8115	rgb(222,130,131)
Rorc	Emp1	-1.624	rgb(129,163,232)
Fosl2	Emp1	-1.7795	rgb(120,158,234)
Irf4	Emp3	1.7948	rgb(222,131,132)
Maf	Emp3	-1.6455	rgb(128,163,233)
Fosl2	Emp3	-1.7951	rgb(120,158,234)
Batf	Enc1	1.6607	rgb(222,138,138)
Batf	Endod1	-1.8942	rgb(114,154,235)
Irf4	Endod1	-1.8859	rgb(115,155,235)
Hif1a	Endog	1.868	rgb(222,128,129)
Hif1a	Eno1	1.8802	rgb(222,127,128)
Irf4	Eno3	-1.9788	rgb(110,152,236)
Maf	Eno3	-1.9326	rgb(112,153,235)
Stat3	Eno3	-1.9556	rgb(111,152,236)
Rorc	Eno3	-1.9144	rgb(113,154,235)
Fosl2	Eno3	-1.8327	rgb(117,156,234)
Fosl2	Entpd4	1.5633	rgb(221,142,143)
Hif1a	Entpd4	1.5885	rgb(221,141,142)
Batf	Eny2	-1.5279	rgb(134,167,232)
Hif1a	Epn1	1.7521	rgb(222,133,134)
Etv6	Epn1	-1.8229	rgb(118,157,234)
Batf	Ept1	-1.7676	rgb(121,159,234)
Fosl2	Ept1	-1.5754	rgb(131,165,232)
Batf	Erc1	1.8499	rgb(222,129,130)
Irf4	Erc1	1.9461	rgb(222,124,125)
Irf4	Ergic1	-1.743	rgb(122,159,234)
Fosl2	Ergic1	-1.8165	rgb(118,157,234)
Batf	Ermp1	-1.7463	rgb(122,159,234)
Irf4	Ermp1	-1.5532	rgb(133,166,232)
Maf	Ermp1	-1.7183	rgb(124,160,233)
Fosl2	Ermp1	-1.6788	rgb(126,162,233)
Hif1a	Ero1l	1.9235	rgb(222,125,126)
Hif1a	Errfi1	1.7225	rgb(222,135,136)
Batf	Espn	1.9418	rgb(222,124,125)
Irf4	Espn	1.9635	rgb(222,123,124)
Stat3	Espn	1.9567	rgb(222,123,124)
Hif1a	Espn	1.972	rgb(222,123,124)
Etv6	Esrra	-1.8175	rgb(118,157,234)
Batf	Ets1	1.9047	rgb(222,126,127)
Fosl2	Ets1	1.9881	rgb(222,122,123)
Hif1a	Ets1	1.9165	rgb(222,125,126)
Batf	Ets2	-1.7468	rgb(122,159,234)
Rorc	Ets2	1.6629	rgb(222,138,138)
Irf4	Etv6	1.9946	rgb(222,122,123)
Stat3	Etv6	1.9903	rgb(222,122,123)
Batf	Evi2a	-1.6802	rgb(126,161,233)
Batf	Evi2b	-1.5474	rgb(133,166,232)
Fosl2	Evi2b	1.5591	rgb(221,142,143)
Batf	Evl	1.9948	rgb(222,122,123)
Irf4	Evl	1.9802	rgb(222,122,123)
Stat3	Evl	1.8295	rgb(222,130,130)
Fosl2	Evl	1.9041	rgb(222,126,127)
Etv6	Evl	-1.6973	rgb(125,161,233)
Batf	Exoc2	-1.989	rgb(109,151,236)
Irf4	Exoc2	-1.998	rgb(109,151,236)
Fosl2	Exoc2	1.8659	rgb(222,128,129)
Irf4	Exoc6b	1.8622	rgb(222,128,129)
Hif1a	Exoc7	1.8014	rgb(222,131,132)
Hif1a	Exosc8	1.629	rgb(221,139,140)
Maf	Ext1	-1.9054	rgb(114,154,235)
Stat3	Ext1	1.9423	rgb(222,124,125)
Irf4	Extl3	-1.9226	rgb(113,153,235)
Maf	Extl3	-1.8597	rgb(116,156,235)
Fosl2	Extl3	-1.9024	rgb(114,154,235)
Batf	Ezh1	1.7199	rgb(222,135,136)
Irf4	Ezh2	1.7893	rgb(222,131,132)
Batf	F2r	-1.6032	rgb(130,164,232)
Irf4	F2r	-1.8083	rgb(119,157,234)
Fosl2	F2r	1.8285	rgb(222,130,131)
Fosl2	F3	1.742	rgb(222,134,135)
Batf	F730043M19Rik	-1.8636	rgb(116,155,235)
Irf4	F730043M19Rik	1.6651	rgb(222,137,138)
Batf	Faah	-1.6535	rgb(127,162,233)
Irf4	Faah	1.5277	rgb(221,144,145)
Hif1a	Fabp5	1.6386	rgb(222,139,139)
Etv6	Fads6	-1.6883	rgb(125,161,233)
Batf	Fah	1.8537	rgb(222,128,129)
Rorc	Fah	-1.8415	rgb(117,156,235)
Irf4	Fam102a	-1.7773	rgb(120,158,234)
Stat3	Fam102a	1.7891	rgb(222,131,132)
Hif1a	Fam102a	1.7171	rgb(222,135,136)
Etv6	Fam102a	-1.5221	rgb(134,167,231)
Batf	Fam107b	1.9549	rgb(222,124,125)
Irf4	Fam107b	1.9295	rgb(222,125,126)
Maf	Fam107b	-1.8867	rgb(115,155,235)
Stat3	Fam107b	1.891	rgb(222,127,128)
Rorc	Fam110a	1.6898	rgb(222,136,137)
Batf	Fam111a	-1.7905	rgb(120,158,234)
Hif1a	Fam114a2	1.7651	rgb(222,133,134)
Fosl2	Fam117a	1.8603	rgb(222,128,129)
Hif1a	Fam117b	1.6428	rgb(222,138,139)
Rorc	Fam124b	1.6628	rgb(222,138,138)
Batf	Fam129a	1.9732	rgb(222,123,124)
Irf4	Fam129a	1.8988	rgb(222,126,127)
Maf	Fam129a	-1.8145	rgb(118,157,234)
Batf	Fam129b	-1.8366	rgb(117,156,234)
Irf4	Fam129b	1.8582	rgb(222,128,129)
Stat3	Fam129b	1.9067	rgb(222,126,127)
Hif1a	Fam129b	1.6094	rgb(221,140,141)
Maf	Fam162a	-1.7285	rgb(123,160,233)
Rorc	Fam162a	-1.7814	rgb(120,158,234)
Fosl2	Fam162a	1.6939	rgb(222,136,137)
Hif1a	Fam162a	1.9757	rgb(222,123,124)
Batf	Fam168b	-1.8542	rgb(116,156,235)
Rorc	Fam169b	-1.8145	rgb(118,157,234)
Fosl2	Fam169b	1.944	rgb(222,124,125)
Fosl2	Fam183b	1.5453	rgb(221,143,144)
Hif1a	Fam189b	1.5917	rgb(221,141,142)
Batf	Fam20a	1.8447	rgb(222,129,130)
Maf	Fam20a	1.8722	rgb(222,128,128)
Rorc	Fam20a	-1.6148	rgb(129,164,232)
Fosl2	Fam20a	1.8698	rgb(222,128,129)
Rorc	Fam3c	-1.7253	rgb(123,160,233)
Hif1a	Fam46a	1.6599	rgb(222,138,138)
Irf4	Fam46c	1.8875	rgb(222,127,128)
Rorc	Fam46c	-1.8484	rgb(117,156,235)
Rorc	Fam49b	-1.7063	rgb(124,161,233)
Irf4	Fam53b	-1.926	rgb(112,153,235)
Hif1a	Fam57a	1.7956	rgb(222,131,132)
Hif1a	Fam63b	1.6005	rgb(221,140,141)
Batf	Fam65b	-1.6931	rgb(125,161,233)
Irf4	Fam69b	1.5719	rgb(221,142,143)
Batf	Fam71b	-1.7275	rgb(123,160,233)
Irf4	Fam71b	-1.8211	rgb(118,157,234)
Maf	Fam71b	-1.7319	rgb(123,160,233)
Batf	Fam71f2	1.5139	rgb(221,145,145)
Irf4	Fam71f2	1.5362	rgb(221,144,144)
Fosl2	Fam71f2	1.7816	rgb(222,132,133)
Hif1a	Fam78a	1.7726	rgb(222,132,133)
Irf4	Fam81a	-1.6953	rgb(125,161,233)
Fosl2	Fam81a	-1.7412	rgb(122,159,234)
Hif1a	Fance	1.8266	rgb(222,130,131)
Fosl2	Fancf	-1.5201	rgb(134,167,231)
Maf	Far1	-1.5695	rgb(132,165,232)
Batf	Farp1	-1.7611	rgb(121,159,234)
Maf	Farp1	-1.6051	rgb(130,164,232)
Stat3	Farp1	1.5203	rgb(221,144,145)
Irf4	Fas	-1.8	rgb(119,158,234)
Maf	Fas	-1.9385	rgb(112,153,235)
Rorc	Fas	-1.5176	rgb(135,167,231)
Irf4	Fasl	-1.5324	rgb(134,166,232)
Irf4	Fasn	-1.5971	rgb(130,164,232)
Hif1a	Fastk	1.6591	rgb(222,138,139)
Fosl2	Fastkd1	-1.724	rgb(123,160,233)
Hif1a	Fau	1.7867	rgb(222,132,132)
Hif1a	Fbxl14	1.7573	rgb(222,133,134)
Fosl2	Fbxo11	-1.7321	rgb(123,160,233)
Fosl2	Fbxo17	-1.7069	rgb(124,161,233)
Etv6	Fbxo31	-1.7876	rgb(120,158,234)
Batf	Fbxo4	-1.5608	rgb(132,165,232)
Batf	Fcrl1	-1.9596	rgb(111,152,236)
Irf4	Fcrl1	1.8187	rgb(222,130,131)
Maf	Fcrl1	-1.6979	rgb(125,161,233)
Stat3	Fcrl1	-1.7474	rgb(122,159,234)
Fosl2	Fcrl1	-1.8691	rgb(116,155,235)
Batf	Fes	1.6358	rgb(222,139,140)
Irf4	Fes	1.7773	rgb(222,132,133)
Stat3	Fes	1.6222	rgb(221,139,140)
Maf	Fez2	1.7628	rgb(222,133,134)
Maf	Fgd3	-1.8372	rgb(117,156,234)
Stat3	Fgd3	1.7851	rgb(222,132,133)
Batf	Fgf2	-1.8439	rgb(117,156,235)
Irf4	Fgf2	-1.8758	rgb(115,155,235)
Fosl2	Fgf2	-1.8215	rgb(118,157,234)
Batf	Fggy	1.8676	rgb(222,128,129)
Batf	Fhl2	1.6168	rgb(221,140,141)
Irf4	Fhl2	-1.5727	rgb(132,165,232)
Maf	Fhl2	-1.7819	rgb(120,158,234)
Fosl2	Fhl2	-1.8548	rgb(116,156,235)
Batf	Fhl3	-1.7173	rgb(124,160,233)
Stat3	Fhl3	1.9092	rgb(222,126,127)
Irf4	Filip1l	-1.8599	rgb(116,156,235)
Maf	Filip1l	-1.9549	rgb(111,152,236)
Rorc	Filip1l	-1.7345	rgb(123,160,233)
Fosl2	Fkbp1a	1.9227	rgb(222,125,126)
Hif1a	Fkbp1a	1.5166	rgb(221,145,145)
Fosl2	Fkbp5	-1.8625	rgb(116,155,235)
Batf	Flna	1.8465	rgb(222,129,130)
Batf	Flnb	1.8499	rgb(222,129,130)
Irf4	Flnb	1.9104	rgb(222,126,127)
Maf	Flnb	-1.8824	rgb(115,155,235)
Rorc	Flnb	1.8337	rgb(222,129,130)
Fosl2	Flnb	-1.9618	rgb(110,152,236)
Batf	Flot1	1.948	rgb(222,124,125)
Irf4	Flot1	1.9573	rgb(222,123,124)
Stat3	Flot1	1.9563	rgb(222,123,124)
Rorc	Flot1	-1.9202	rgb(113,154,235)
Fosl2	Flot1	1.9508	rgb(222,124,125)
Hif1a	Flot1	1.8783	rgb(222,127,128)
Batf	Flot2	1.7791	rgb(222,132,133)
Irf4	Flot2	1.8485	rgb(222,129,130)
Stat3	Flot2	1.6193	rgb(221,140,140)
Fosl2	Flt3l	1.6335	rgb(221,139,140)
Hif1a	Flt3l	1.8024	rgb(222,131,132)
Etv6	Flt3l	-1.9235	rgb(113,153,235)
Hif1a	Flywch1	1.9072	rgb(222,126,127)
Stat3	Fmnl1	1.841	rgb(222,129,130)
Fosl2	Fmnl1	1.7934	rgb(222,131,132)
Maf	Fnbp1	-1.9413	rgb(112,153,235)
Rorc	Fnip1	-1.6153	rgb(129,164,232)
Fosl2	Fnip1	1.9184	rgb(222,125,126)
Hif1a	Fnip1	1.697	rgb(222,136,137)
Irf4	Fos	1.5111	rgb(221,145,146)
Stat3	Fosl2	1.9801	rgb(222,122,123)
Hif1a	Fosl2	1.8558	rgb(222,128,129)
Etv6	Fosl2	-1.7852	rgb(120,158,234)
Etv6	Foxj2	-1.6663	rgb(127,162,233)
Batf	Foxo1	1.9743	rgb(222,123,124)
Irf4	Foxo1	1.924	rgb(222,125,126)
Stat3	Foxo1	1.7592	rgb(222,133,134)
Rorc	Foxo1	-1.7517	rgb(122,159,234)
Fosl2	Foxo1	1.8909	rgb(222,127,128)
Hif1a	Foxo1	1.5179	rgb(221,144,145)
Hif1a	Foxo3	1.8494	rgb(222,129,130)
Irf4	Foxp1	-1.9816	rgb(109,152,236)
Maf	Foxp4	-1.5043	rgb(135,167,231)
Batf	Frmd4b	1.9817	rgb(222,122,123)
Irf4	Frmd4b	1.9847	rgb(222,122,123)
Maf	Frmd4b	-1.9039	rgb(114,154,235)
Stat3	Frmd4b	1.9057	rgb(222,126,127)
Rorc	Frmd4b	1.886	rgb(222,127,128)
Stat3	Frmd6	1.7904	rgb(222,131,132)
Rorc	Frmd6	-1.7508	rgb(122,159,234)
Batf	Fth1	1.7783	rgb(222,132,133)
Stat3	Fth1	1.7663	rgb(222,133,133)
Fosl2	Fth1	1.6083	rgb(221,140,141)
Irf4	Ftl1	1.6576	rgb(222,138,139)
Rorc	Ftsj2	1.6409	rgb(222,139,139)
Etv6	Ftsj2	-1.7673	rgb(121,159,234)
Batf	Ftsj3	-1.6112	rgb(130,164,232)
Batf	Furin	1.9403	rgb(222,124,125)
Irf4	Furin	1.9603	rgb(222,123,124)
Stat3	Furin	1.932	rgb(222,125,126)
Rorc	Furin	1.9194	rgb(222,125,126)
Hif1a	Furin	1.7935	rgb(222,131,132)
Rorc	Fut4	-1.8206	rgb(118,157,234)
Maf	Fut7	1.8516	rgb(222,128,129)
Rorc	Fut7	1.858	rgb(222,128,129)
Fosl2	Fxyd5	1.6627	rgb(222,138,138)
Batf	Fyb	1.9791	rgb(222,122,123)
Fosl2	Fyb	1.8774	rgb(222,127,128)
Stat3	Fyco1	1.7157	rgb(222,135,136)
Fosl2	Fyco1	1.931	rgb(222,125,126)
Batf	Fyn	-1.9855	rgb(109,151,236)
Irf4	Fyn	-1.9178	rgb(113,154,235)
Maf	Fyn	-1.9126	rgb(113,154,235)
Hif1a	Fyttd1	1.8041	rgb(222,131,132)
Stat3	Fzd7	1.5385	rgb(221,143,144)
Hif1a	Fzd7	1.8359	rgb(222,129,130)
Hif1a	G2e3	1.8313	rgb(222,129,130)
Hif1a	G3bp2	1.6261	rgb(221,139,140)
Hif1a	G6pc3	1.7281	rgb(222,134,135)
Maf	Gabarap	-1.5281	rgb(134,167,232)
Stat3	Gabarap	1.8232	rgb(222,130,131)
Fosl2	Gadd45a	1.7003	rgb(222,136,137)
Hif1a	Gadd45a	-1.5291	rgb(134,166,232)
Batf	Gadd45b	1.9144	rgb(222,125,126)
Irf4	Gadd45b	1.8587	rgb(222,128,129)
Rorc	Gadd45b	1.9248	rgb(222,125,126)
Fosl2	Gadd45b	-1.9203	rgb(113,154,235)
Hif1a	Gadd45b	-1.8058	rgb(119,157,234)
Batf	Gadd45g	-1.7617	rgb(121,159,234)
Maf	Gadd45g	-1.8751	rgb(115,155,235)
Hif1a	Gadd45g	1.8275	rgb(222,130,131)
Maf	Gadd45gip1	1.7236	rgb(222,135,135)
Hif1a	Gadd45gip1	1.748	rgb(222,133,134)
Batf	Galc	1.9583	rgb(222,123,124)
Irf4	Galc	1.9308	rgb(222,125,126)
Rorc	Galc	-1.7853	rgb(120,158,234)
Fosl2	Galc	1.911	rgb(222,126,127)
Irf4	Gale	1.5471	rgb(221,143,144)
Hif1a	Galk1	1.8477	rgb(222,129,130)
Maf	Galm	-1.9174	rgb(113,154,235)
Maf	Galnt12	1.5073	rgb(221,145,146)
Rorc	Galnt12	1.845	rgb(222,129,130)
Hif1a	Galnt12	1.5853	rgb(221,141,142)
Batf	Galnt3	1.9064	rgb(222,126,127)
Irf4	Galnt3	1.774	rgb(222,132,133)
Maf	Galnt3	-1.6555	rgb(127,162,233)
Fosl2	Galnt3	1.5925	rgb(221,141,142)
Hif1a	Galnt6	1.9136	rgb(222,126,126)
Batf	Gap43	-1.6834	rgb(126,161,233)
Fosl2	Gap43	1.6398	rgb(222,139,139)
Irf4	Gapdh	1.7721	rgb(222,132,133)
Hif1a	Gapdh	1.8905	rgb(222,127,128)
Batf	Gart	-1.8821	rgb(115,155,235)
Fosl2	Gas2	-1.7306	rgb(123,160,233)
Fosl2	Gas2l1	-1.6403	rgb(128,163,233)
Irf4	Gata3	-1.9218	rgb(113,154,235)
Maf	Gata3	-1.5799	rgb(131,165,232)
Irf4	Gatm	1.6496	rgb(222,138,139)
Hif1a	Gatm	1.7601	rgb(222,133,134)
Batf	Gatsl2	-1.5344	rgb(134,166,232)
Stat3	Gatsl2	1.6806	rgb(222,137,138)
Fosl2	Gatsl2	1.554	rgb(221,143,143)
Hif1a	Gbe1	1.7337	rgb(222,134,135)
Stat3	Gbp10	-1.5287	rgb(134,167,232)
Maf	Gbp2	1.5467	rgb(221,143,144)
Stat3	Gbp2	-1.7443	rgb(122,159,234)
Fosl2	Gbp2	1.8636	rgb(222,128,129)
Batf	Gbp3	-1.8859	rgb(115,155,235)
Irf4	Gbp3	-1.9255	rgb(112,153,235)
Maf	Gbp3	1.7854	rgb(222,132,133)
Fosl2	Gbp3	1.7453	rgb(222,134,134)
Batf	Gbp4	-1.944	rgb(111,153,235)
Irf4	Gbp4	-1.9521	rgb(111,153,236)
Maf	Gbp4	-1.9381	rgb(112,153,235)
Stat3	Gbp4	-1.9106	rgb(113,154,235)
Rorc	Gbp4	-1.7084	rgb(124,161,233)
Fosl2	Gbp4	1.9554	rgb(222,124,125)
Nfe2l2	Gbp4	1.5516	rgb(221,143,144)
Batf	Gbp5	-1.9201	rgb(113,154,235)
Irf4	Gbp5	1.9493	rgb(222,124,125)
Maf	Gbp5	1.9263	rgb(222,125,126)
Stat3	Gbp5	-1.8428	rgb(117,156,235)
Rorc	Gbp5	-1.7909	rgb(120,158,234)
Fosl2	Gbp5	1.9082	rgb(222,126,127)
Hif1a	Gbp5	1.8485	rgb(222,129,130)
Batf	Gbp6	-1.8198	rgb(118,157,234)
Maf	Gbp6	-1.641	rgb(128,163,233)
Stat3	Gbp6	-1.8353	rgb(117,156,234)
Batf	Gbp8	-1.9379	rgb(112,153,235)
Irf4	Gbp8	-1.8639	rgb(116,155,235)
Maf	Gbp8	-1.9382	rgb(112,153,235)
Stat3	Gbp8	-1.9488	rgb(111,153,236)
Rorc	Gbp8	-1.8715	rgb(115,155,235)
Fosl2	Gbp8	1.8795	rgb(222,127,128)
Batf	Gcnt1	1.8957	rgb(222,126,127)
Stat3	Gcnt1	1.8711	rgb(222,128,129)
Rorc	Gcnt1	-1.8281	rgb(118,157,234)
Fosl2	Gcnt1	-1.9255	rgb(112,153,235)
Hif1a	Gde1	1.7149	rgb(222,135,136)
Batf	Gdpd3	-1.7112	rgb(124,160,233)
Irf4	Gdpd5	-1.9299	rgb(112,153,235)
Maf	Gdpd5	-1.5768	rgb(131,165,232)
Batf	Gem	1.5566	rgb(221,143,143)
Maf	Gem	-1.6875	rgb(125,161,233)
Stat3	Gem	1.7184	rgb(222,135,136)
Rorc	Gem	-1.5455	rgb(133,166,232)
Batf	Gemin6	-1.5306	rgb(134,166,232)
Irf4	Gemin8	-1.7632	rgb(121,159,234)
Fosl2	Gemin8	1.7351	rgb(222,134,135)
Batf	Gen1	-1.5926	rgb(131,164,232)
Batf	Gfi1	1.8688	rgb(222,128,129)
Irf4	Gfi1	1.8967	rgb(222,126,127)
Batf	Gfod1	-1.9638	rgb(110,152,236)
Irf4	Gfod1	-1.9633	rgb(110,152,236)
Maf	Gfod1	-1.7109	rgb(124,160,233)
Fosl2	Gfod1	-1.9698	rgb(110,152,236)
Nfe2l2	Ggcx	1.9028	rgb(222,126,127)
Stat3	Ggt7	1.5484	rgb(221,143,144)
Batf	Ggta1	1.8104	rgb(222,130,131)
Etv6	Ghdc	-1.7106	rgb(124,160,233)
Fosl2	Gimap1	1.8166	rgb(222,130,131)
Hif1a	Gimap1	1.8637	rgb(222,128,129)
Maf	Gimap3	-1.5562	rgb(132,166,232)
Rorc	Gimap4	-1.8524	rgb(116,156,235)
Hif1a	Gimap4	1.6196	rgb(221,140,140)
Maf	Gimap5	-1.9545	rgb(111,152,236)
Hif1a	Gimap5	1.7797	rgb(222,132,133)
Hif1a	Gimap6	1.5852	rgb(221,141,142)
Irf4	Gimap7	1.876	rgb(222,127,128)
Maf	Gimap7	-1.8599	rgb(116,156,235)
Fosl2	Gimap7	1.805	rgb(222,131,132)
Hif1a	Gimap7	1.6824	rgb(222,137,137)
Maf	Gimap8	-1.7612	rgb(121,159,234)
Rorc	Gimap9	-1.808	rgb(119,157,234)
Irf4	Gipr	1.548	rgb(221,143,144)
Stat3	Gipr	1.6857	rgb(222,136,137)
Fosl2	Gipr	1.7511	rgb(222,133,134)
Maf	Gja1	1.8671	rgb(222,128,129)
Stat3	Gla	1.7184	rgb(222,135,136)
Irf4	Glce	1.7188	rgb(222,135,136)
Hif1a	Glg1	1.5542	rgb(221,143,143)
Batf	Glipr1	-1.835	rgb(117,156,234)
Irf4	Glipr1	-1.9318	rgb(112,153,235)
Maf	Glipr1	-1.8512	rgb(116,156,235)
Fosl2	Glipr1	-1.6629	rgb(127,162,233)
Batf	Glipr2	1.8551	rgb(222,128,129)
Stat3	Glipr2	1.9051	rgb(222,126,127)
Etv6	Glipr2	-1.709	rgb(124,161,233)
Maf	Glod4	-1.8955	rgb(114,154,235)
Batf	Glrx	-1.8633	rgb(116,155,235)
Fosl2	Glrx	1.7913	rgb(222,131,132)
Fosl2	Gls	-1.5057	rgb(135,167,231)
Hif1a	Gls2	1.6188	rgb(221,140,140)
Fosl2	Gltscr2	1.7703	rgb(222,132,133)
Batf	Glud1	1.7505	rgb(222,133,134)
Irf4	Glud1	1.796	rgb(222,131,132)
Hif1a	Gm11110	1.809	rgb(222,131,131)
Batf	Gm11346	-1.5631	rgb(132,165,232)
Batf	Gm12250	-1.779	rgb(120,158,234)
Irf4	Gm12250	-1.8153	rgb(118,157,234)
Stat3	Gm12250	-1.6234	rgb(129,163,232)
Batf	Gm2a	1.6498	rgb(222,138,139)
Irf4	Gm2a	1.7951	rgb(222,131,132)
Maf	Gm2a	-1.6193	rgb(129,164,232)
Hif1a	Gm2a	1.8209	rgb(222,130,131)
Batf	Gm8369	1.9695	rgb(222,123,124)
Maf	Gm8369	-1.9832	rgb(109,151,236)
Stat3	Gm8369	1.9499	rgb(222,124,125)
Rorc	Gm8369	-1.9576	rgb(111,152,236)
Nfe2l2	Gm8801	1.9286	rgb(222,125,126)
Batf	Gmfg	1.9553	rgb(222,124,125)
Irf4	Gmfg	1.9264	rgb(222,125,126)
Maf	Gmfg	1.8378	rgb(222,129,130)
Stat3	Gmfg	1.9324	rgb(222,125,126)
Fosl2	Gmfg	1.8788	rgb(222,127,128)
Hif1a	Gmppa	1.7933	rgb(222,131,132)
Maf	Gna13	-1.865	rgb(116,155,235)
Fosl2	Gna13	-1.7065	rgb(124,161,233)
Hif1a	Gna13	1.6907	rgb(222,136,137)
Irf4	Gnaq	-1.8075	rgb(119,157,234)
Batf	Gnb4	1.522	rgb(221,144,145)
Batf	Gnb5	1.774	rgb(222,132,133)
Maf	Gnb5	-1.7561	rgb(122,159,234)
Stat3	Gnb5	1.592	rgb(221,141,142)
Irf4	Gngt2	1.8765	rgb(222,127,128)
Stat3	Gngt2	1.8969	rgb(222,126,127)
Batf	Gnl3	-1.6724	rgb(126,162,233)
Fosl2	Gnl3	-1.6598	rgb(127,162,233)
Batf	Gnpda1	1.7423	rgb(222,134,135)
Irf4	Gnpda1	1.5027	rgb(221,145,146)
Stat3	Gnpda1	1.5916	rgb(221,141,142)
Rorc	Gnptab	-1.7521	rgb(122,159,234)
Hif1a	Golga7	1.6545	rgb(222,138,139)
Maf	Golim4	-1.7922	rgb(120,158,234)
Fosl2	Golim4	-1.8954	rgb(114,154,235)
Fosl2	Golt1b	-1.6597	rgb(127,162,233)
Hif1a	Gopc	1.5462	rgb(221,143,144)
Maf	Gosr2	-1.704	rgb(124,161,233)
Irf4	Got1	1.6926	rgb(222,136,137)
