TF	Target	Weight
DRGX	EID1	1
DRGX	FAM188B	1
DRGX	FBXO48	1
DRGX	FREM1	1
DRGX	GNAT3	1
DRGX	HIF1AN	1
DRGX	IDO1	1
DRGX	IDO2	1
DRGX	INMT-FAM188B	1
DRGX	KB-1254G8.1	1
DRGX	KB-1507C5.2	1
DRGX	KIAA0825	1
DRGX	LDHA	1
DRGX	LDHC	1
DRGX	MAPK1	1
DRGX	MIR3159	1
DRGX	MITF	1
DRGX	MXD3	1
DRGX	NDUFB8	1
DRGX	NFAT5	1
DRGX	NFE2L2	1
DRGX	NQO1	1
DRGX	NSD1	1
DRGX	PABPC1P13	1
DRGX	PARK2	1
DRGX	PAWR	1
DRGX	PFDN4	1
DRGX	PIGCP1	1
DRGX	POTED	1
DRGX	PPP1R12A	1
DRGX	PRELID1	1
DRGX	PRKRA	1
DRGX	RAB24	1
DRGX	RN7SL418P	1
DRGX	RN7SL487P	1
DRGX	RN7SL604P	1
DRGX	RNA5SP493	1
DRGX	RNU6-1260P	1
DRGX	RNU6-286P	1
DRGX	RP11-138E16.1	1
DRGX	RP11-235E17.5	1
DRGX	RP11-23F23.2	1
DRGX	RP11-30L15.4	1
DRGX	RP11-311C24.1	1
DRGX	RP11-326A13.1	1
DRGX	RP11-337N6.1	1
DRGX	RP11-337N6.2	1
DRGX	RP11-343N15.2	1
DRGX	RP11-44K6.2	1
DRGX	RP11-44K6.3	1
DRGX	RP11-44K6.4	1
DRGX	RP11-44K6.5	1
DRGX	RP11-530C5.1	1
DRGX	RP11-536C10.12	1
DRGX	RP11-536C10.13	1
DRGX	RP11-536C10.16	1
DRGX	RP11-536C10.7	1
DRGX	RP11-626K17.5	1
DRGX	RP11-77O7.1	1
DRGX	RP11-82L18.4	1
DRGX	RPL5P24	1
DRGX	S1PR3	1
DRGX	SEC31B	1
DRGX	SHC3	1
DRGX	SHC4	1
DRGX	SHPK	1
DRGX	SNORA36C	1
DRGX	snoU13	1
DRGX	SNRPBP1	1
DRGX	TCEA1	1
DRGX	TCP11L1	1
DRGX	TUBGCP4	1
DRGX	U95743.1	1
DRGX	WNT8B	1
DRGX	Y_RNA	1
DRGX	ZKSCAN2	1
DRGX	ZNF562	1
DRGX	ZSCAN29	1
EN1	AAK1	1
EN1	AC004691.5	1
EN1	AC004862.6	1
EN1	AC006196.1	1
EN1	AC009948.5	1
EN1	AC012379.1	1
EN1	AC019080.1	1
EN1	AC073850.6	1
EN1	AC074286.1	1
EN1	AC084117.3	1
EN1	AC092431.2	1
EN1	AC099326.1	1
EN1	AC130709.1	1
EN1	ADCY1	1
EN1	AL035697.1	1
EN1	AL592494.5	1
EN1	ANKRD32	1
EN1	ANXA4	1
EN1	AP003354.1	1
EN1	APLF	1
EN1	AQP1	1
EN1	ARHGAP42P5	1
EN1	AZIN1	1
EN1	C19orf82	1
EN1	C4BPAP2	1
EN1	C9orf47	1
EN1	CD36	1
EN1	CREG1	1
EN1	CSTF3	1
EN1	CTC-303L1.2	1
EN1	CTD-2033A16.1	1
EN1	CTD-2301A4.3	1
EN1	CTD-2301A4.5	1
EN1	EID1	1
EN1	FAM188B	1
EN1	FBXO48	1
EN1	FREM1	1
EN1	GNAT3	1
EN1	HIF1AN	1
EN1	IDO1	1
EN1	IDO2	1
EN1	INMT-FAM188B	1
EN1	KB-1254G8.1	1
EN1	KB-1507C5.2	1
EN1	KIAA0825	1
EN1	LDHA	1
EN1	LDHC	1
EN1	MAPK1	1
EN1	MIR3159	1
EN1	MITF	1
EN1	MXD3	1
EN1	NDUFB8	1
EN1	NFAT5	1
EN1	NFE2L2	1
EN1	NQO1	1
EN1	NSD1	1
EN1	PABPC1P13	1
EN1	PARK2	1
EN1	PAWR	1
EN1	PFDN4	1
EN1	PIGCP1	1
EN1	POTED	1
EN1	PPP1R12A	1
EN1	PRELID1	1
EN1	PRKRA	1
EN1	RAB24	1
EN1	RN7SL418P	1
EN1	RN7SL487P	1
EN1	RN7SL604P	1
EN1	RNA5SP493	1
EN1	RNU6-1260P	1
EN1	RNU6-286P	1
EN1	RP11-138E16.1	1
EN1	RP11-235E17.5	1
EN1	RP11-23F23.2	1
EN1	RP11-30L15.4	1
EN1	RP11-311C24.1	1
EN1	RP11-326A13.1	1
EN1	RP11-337N6.1	1
EN1	RP11-337N6.2	1
EN1	RP11-343N15.2	1
EN1	RP11-44K6.2	1
EN1	RP11-44K6.3	1
EN1	RP11-44K6.4	1
EN1	RP11-44K6.5	1
EN1	RP11-530C5.1	1
EN1	RP11-536C10.12	1
EN1	RP11-536C10.13	1
EN1	RP11-536C10.16	1
EN1	RP11-536C10.7	1
EN1	RP11-626K17.5	1
EN1	RP11-77O7.1	1
EN1	RP11-82L18.4	1
EN1	RPL5P24	1
EN1	S1PR3	1
EN1	SEC31B	1
EN1	SHC3	1
EN1	SHC4	1
EN1	SHPK	1
EN1	SNORA36C	1
EN1	snoU13	1
EN1	SNRPBP1	1
EN1	TCEA1	1
EN1	TCP11L1	1
EN1	TUBGCP4	1
EN1	U95743.1	1
EN1	WNT8B	1
EN1	Y_RNA	1
EN1	ZKSCAN2	1
EN1	ZNF562	1
EN1	ZSCAN29	1
EN2	AAK1	1
EN2	AC004691.5	1
EN2	AC004862.6	1
EN2	AC006196.1	1
