TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
E2f4	Dars2	0.95471	50.62	0.618	rgb(224, 99,100)	1.9948	None
Egr2	Arrb1	0.95471	50.62	0.616	rgb(224, 99,101)	1.9948	None
Foxo3	Hlf	-0.95471	50.62	-6.2E-01	rgb( 84,136,240)	1.9948	2,2
Foxo3	Pogz	-0.95471	50.62	-6.2E-01	rgb( 82,135,241)	1.9948	None
Gli1	C030037D09Rik	0.95471	50.62	0.618	rgb(224, 99,100)	1.9948	None
Hif1a	Muc2	0.95471	50.62	0.621	rgb(224, 98,100)	1.9948	2,2
Hif1a	Unc13a	0.95471	50.62	0.623	rgb(224, 98, 99)	1.9948	2,2
Nfia	Cacnb2	-0.95471	50.62	-6.2E-01	rgb( 83,135,240)	1.9948	2,2
Nfkb2	Rnf125	-0.95471	50.62	-6.2E-01	rgb( 83,135,240)	1.9948	None
Nr2f1	Icam1	-0.95471	50.62	-6.2E-01	rgb( 81,135,241)	1.9948	None
Smad3	Rcan3	0.95471	50.62	0.619	rgb(224, 99,100)	1.9948	None
Sox5	Rgs1	0.95471	50.62	0.623	rgb(224, 98, 99)	1.9948	None
Zbtb4	2900011O08Rik	0.95471	50.62	0.62	rgb(224, 99,100)	1.9948	None
Zfp281	Akirin1	-0.95471	50.62	-6.2E-01	rgb( 82,135,241)	1.9948	None
Aebp1	Hspg2	0.95471	50.62	0.623	rgb(224, 98, 99)	1.9948	2,2
Mxd1	Tns4	0.95471	50.62	0.624	rgb(224, 98, 99)	1.9948	2,2
Zeb2	Ptger2	0.95471	50.62	0.62	rgb(224, 99,100)	1.9948	2,2
Zfp367	Fam111a	0.95471	50.62	0.623	rgb(224, 98, 99)	1.9948	2,2
Zfp768	Neo1	0.95471	50.62	0.617	rgb(224, 99,100)	1.9948	2,2
Etv6	Naca	0.95244	50.61	0.608	rgb(224,101,102)	1.9946	None
Foxo3	Stx2	0.95244	50.61	0.609	rgb(224,101,102)	1.9946	None
Hif1a	1700001L05Rik	0.95244	50.61	0.607	rgb(224,101,102)	1.9946	2,2
Hmx2	Scn5a	-0.95244	50.61	-6.1E-01	rgb( 84,136,240)	1.9946	2,2
Lcor	S100a4	0.95244	50.61	0.612	rgb(224,100,101)	1.9946	2,2
Lin54	Hist1h1b	0.95244	50.61	0.606	rgb(224,101,103)	1.9946	None
Mafg	Insl3	-0.95244	50.61	-6.1E-01	rgb( 84,136,240)	1.9946	2,2
Meis3	Tmem35	0.95244	50.61	0.61	rgb(224,101,102)	1.9946	None
Nkx1-2	Foxp4	0.95244	50.61	0.606	rgb(224,101,102)	1.9946	2,2
Pou6f1	Crybg3	0.95244	50.61	0.612	rgb(224,100,101)	1.9946	None
Stat3	Bcl3	0.95244	50.61	0.612	rgb(224,100,101)	1.9946	None
Tef	BC055111	0.95244	50.61	0.613	rgb(224,100,101)	1.9946	2,2
Zfx	Casp6	-0.95244	50.61	-6.1E-01	rgb( 85,137,240)	1.9946	None
Skil	Chst3	-0.95244	50.61	-6.1E-01	rgb( 84,136,240)	1.9946	2,2
Tal2	Batf	-0.95244	50.61	-6.1E-01	rgb( 86,137,240)	1.9946	2,2
Tfdp2	Zranb3	0.95244	50.61	0.61	rgb(224,101,102)	1.9946	2,2
Zbtb46	Penk	0.95244	50.61	0.605	rgb(224,101,103)	1.9946	2,2
Zeb2	Serpine1	0.95244	50.61	0.614	rgb(224,100,101)	1.9946	2,2
Zfp608	Itih5	0.95244	50.61	0.607	rgb(224,101,102)	1.9946	2,2
Zfp629	Mpp3	0.95244	50.61	0.606	rgb(224,101,102)	1.9946	2,2
Zfp90	Kcnd1	-0.95244	50.61	-6.1E-01	rgb( 85,137,240)	1.9946	2,2
Zfp948	Slc9a8	0.95244	50.61	0.608	rgb(224,101,102)	1.9946	2,2
Zkscan17	Lrfn3	0.95244	50.61	0.611	rgb(224,100,101)	1.9946	2,2
Nr1h2	AI506816	0.95244	50.61	0.812	rgb(226, 62, 64)	1.9946	None
Bcl11b	Capn2	0.95018	50.6	0.6	rgb(224,102,104)	1.9944	None
Cic	Il9	0.95018	50.6	0.602	rgb(224,102,103)	1.9944	None
Fosl1	Slc4a11	0.95018	50.6	0.595	rgb(224,103,104)	1.9944	None
Hif1a	Ccng2	0.95018	50.6	0.596	rgb(224,103,104)	1.9944	2,2
Hif1a	Kbtbd13	0.95018	50.6	0.601	rgb(224,102,103)	1.9944	2,2
