TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
E2f1	Exo1	0.95159	50.67	0.666	rgb(224, 90, 91)	1.9952	None
Ets1	Pdcd1lg2	-0.95159	50.67	-6.7E-01	rgb( 72,129,242)	1.9952	None
Foxn2	Naga	-0.95159	50.67	-6.7E-01	rgb( 72,129,242)	1.9952	2,2
Hsf1	Rpusd2	0.95159	50.67	0.669	rgb(224, 89, 90)	1.9952	None
Hsf1	Rwdd2a	-0.95159	50.67	-6.7E-01	rgb( 71,128,242)	1.9952	None
Irf7	Oasl2	0.95159	50.67	0.674	rgb(224, 88, 90)	1.9952	2,2
Mxi1	Aen	-0.95159	50.67	-6.7E-01	rgb( 73,129,242)	1.9952	None
Mybl1	Gen1	0.95159	50.67	0.674	rgb(224, 88, 90)	1.9952	2,2
Prrx1	Cav1	0.95159	50.67	0.675	rgb(224, 88, 89)	1.9952	2,2
Rxra	Fgf2	0.95159	50.67	0.669	rgb(224, 89, 91)	1.9952	None
Scrt1	Cyp2s1	0.95159	50.67	0.669	rgb(224, 89, 91)	1.9952	2,2
Sp2	Hist3h2bb-ps	-0.95159	50.67	-6.7E-01	rgb( 71,128,242)	1.9952	None
Srf	Notch1	0.95159	50.67	0.666	rgb(224, 90, 91)	1.9952	None
Zfhx3	Ermp1	0.95159	50.67	0.665	rgb(224, 90, 91)	1.9952	2,2
Zfp467	Wnt10a	0.95159	50.67	0.671	rgb(224, 89, 90)	1.9952	None
Egr2	Runx1	0.94949	50.66	0.661	rgb(224, 91, 92)	1.995	None
Hsf1	Sf3b3	0.94949	50.66	0.659	rgb(224, 91, 92)	1.995	None
Jun	Stat5b	0.94949	50.66	0.664	rgb(224, 90, 91)	1.995	None
Nfatc1	Synpo	0.94949	50.66	0.659	rgb(224, 91, 92)	1.995	None
Sp110	Ly6c1	0.94949	50.66	0.655	rgb(224, 92, 93)	1.995	2,2
Sp2	Rpl14	-0.94949	50.66	-6.6E-01	rgb( 74,130,242)	1.995	None
Vax2	Il17re	0.94949	50.66	0.658	rgb(224, 91, 93)	1.995	2,2
Zfx	Cisd3	-0.94949	50.66	-6.6E-01	rgb( 74,130,242)	1.995	2,2
Adnp	Dcxr	-0.94949	50.66	-6.6E-01	rgb( 73,129,242)	1.995	2,2
Ankzf1	Arid3a	0.94949	50.66	0.656	rgb(224, 92, 93)	1.995	2,2
Tigd2	Utf1	-0.94949	50.66	-6.6E-01	rgb( 73,129,242)	1.995	2,2
Zbtb17	Dnmt3a	0.94949	50.66	0.662	rgb(224, 91, 92)	1.995	2,2
