TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Nme2	Th17_upOnly.txt	Th17_upOnly	1170	up	10	6	0.05672607477	1	AA467197 Mt2 Sgk1 Smox Susd3 Ucp2
Creb3	Th17_upOnly.txt	Th17_upOnly	1170	up	10	6	0.05672607477	1	1600014C10Rik Aes Arid5a Satb1 Sept9 Znrf1
Lef1	Th17_downOnly.txt	Th17_downOnly	1248	up	31	15	0.0577648121837	1	Bzw2 Casp3 Ccng1 Cd44 Celf2 Cyp51 Erap1 Gimap4 Inpp4b Lrmp Nt5e Ptprc Sell Tnfaip8 Utp20
Cebpg	Th17_downOnly.txt	Th17_downOnly	1248	down	31	15	0.0577648121837	1	Acsl5 Asf1a B4galnt1 Btla Casp3 Cd44 Cenpw Cyp51 Gimap4 Igtp Itm2a Psme2 Rilpl2 Snhg6 Tlk1
Nfe2l2	Th17_upOnly.txt	Th17_upOnly	1170	up	15	8	0.0619409768081	1	Cdkn2d Crem Egln3 Ikzf3 Lta Ltb Ly6e Satb1
Zfp260	Th17_upOnly.txt	Th17_upOnly	1170	up	6	4	0.0804564584461	1	Eif4e3 Gngt2 Itgam Ptgfrn
Cdc5l	Th17_upOnly.txt	Th17_upOnly	1170	down	6	4	0.0804564584461	1	Emp1 Lgals3 Ptgfrn Ucp2
Rest	Th17_upOnly.txt	Th17_upOnly	1170	down	6	4	0.0804564584461	1	Ctla2a Il17a Ltb Rora
Jund	Th17_upOnly.txt	Th17_upOnly	1170	up	40	17	0.0867612537444	1	Aes Cd2 Cyfip2 Glipr2 Il2ra Itgam Lta Mt2 Pim1 Pla2g12a Satb1 Sept9 Sesn3 Socs1 Tgm2 Treml2 Znrf1
Mef2a	Th17_downOnly.txt	Th17_downOnly	1248	up	15	8	0.0874353585303	1	Acsl5 Btla Casp3 Cd44 Gimap4 Inpp4b Ptprc Sell
Zfp1	Th17_downOnly.txt	Th17_downOnly	1248	up	8	5	0.087443056934	1	Casp3 Ctss Oxct1 Sell Tlk1
Mxd1	Th17_downOnly.txt	Th17_downOnly	1248	down	8	5	0.087443056934	1	B4galnt1 Igtp Rilpl2 Snhg6 Tapbp
Zfx	Th17_upOnly.txt	Th17_upOnly	1170	up	35	15	0.0974007713902	1	Ccnd3 Cdkn2d Cndp2 Ehd4 Ero1l Gpr15 Hif1a Id2 Ly6e Mxd1 Pim1 Rnf19b Sema4d Sept9 Smox
Bach2	Th17_upOnly.txt	Th17_upOnly	1170	up	35	15	0.0974007713902	1	Adarb1 Atp2b4 Cndp2 Cpd Cpox Egln3 Emp1 Il2ra Mxd1 Plod2 Rora Sema4d Tec Tnip2 Vim
