TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Tcf3	Th17_upOnly.txt	Th17_upOnly	1170	0	58	29	0.00203412632271	0.402757011896	Adam19 Aes Aqp3 Bcl2 Casp6 Cnn2 Cpd Ctla4 Cysltr1 Dst Eif4ebp1 Furin Galk1 Ikzf3 Il10 Il17f Il4ra Klhl6 Lgr4 Lpxn Ly6a Nedd4 Nipal1 Pdpn Pla2g12a Procr Rnf149 Smox Timp1
Nfkb2	Th17_upOnly.txt	Th17_upOnly	1170	0	18	12	0.00205724338327	0.405276946505	Batf Bcl2 Chd7 Cish Emb Ero1l Glipr2 Itgam Lta Ltb Ucp2 Znrf1
Hivep3	Th17_upOnly.txt	Th17_upOnly	1170	0	48	24	0.00484373444751	0.949371951711	Adarb1 Ahr Aqp3 Bdh2 Bnip3 Casp6 Ccl20 Ctla2b Ctla4 Gngt2 Igfbp4 Il10 Il17f Il1r1 Il4ra Klrd1 Lgr4 Nipal1 Rnf19b Serpinb1a Sgk1 Smox Tec Timp1
Runx1	Th17_upOnly.txt	Th17_upOnly	1170	0	13	9	0.00536943706332	1	1600014C10Rik Cd2 Cpox Ero1l Il2ra Il9 Rbpj Srgn Tnfrsf25
Lef1	Th17_upOnly.txt	Th17_upOnly	1170	0	67	31	0.00652371080074	1	Abi3 Aqp3 Ass1 Atp2b4 Bcl2 Crem Crip1 Ctla2b Emp3 Furin Gmfg Gngt2 Igfbp4 Ikzf3 Il10 Il17a Il17f Klrd1 Lgals1 Lpxn Mt2 Pdpn Plod2 Procr Rora Satb1 Sema4d Serpinb1a Smox Timp1 Ucp2
Irf4	Th17_upOnly.txt	Th17_upOnly	1170	0	34	18	0.00665882662427	1	Acsl4 Batf Ccnd3 Chd7 Cpox Crem Il2ra Itgam Klhl6 Lpxn Lta Nedd4 Nipal1 Pim1 Satb1 Susd3 Treml2 Znrf1
Pknox1	Th17_upOnly.txt	Th17_upOnly	1170	0	30	16	0.00945040741981	1	AA467197 Adarb1 Ahr Arid5a Cyfip2 Cyth4 Dst Klrd1 Lgals3 Maf Mxd1 Pdpn Rora Sgk1 Srgn Tec
Zfp318	Th17_upOnly.txt	Th17_upOnly	1170	0	38	19	0.0116858741661	1	Adarb1 Ahr Ass1 Bdh2 Cpd Cysltr1 Fth1 Gngt2 Ikzf3 Klhl6 Maf Malt1 Mxd1 Pdpn Procr Rnf19b Serpinb1a Smox Tec
Srebf1	Th17_upOnly.txt	Th17_upOnly	1170	0	33	17	0.0116866966587	1	Ahr Chd7 Cndp2 Ctla4 Egln3 Emp3 Gpr15 Id2 Il9 Lgals3 Lgr4 Pdpn Satb1 Smox Tec Tiparp Ucp2
Nfyb	Th17_upOnly.txt	Th17_upOnly	1170	0	36	18	0.0139688556229	1	Aes Aldoa Bnip3 Ccnd3 Emb Gpr65 Hemk1 Higd1a Il2rb Lgr4 Lta Ltb Ly6a Plod2 Rorc Sesn3 Vim Znrf1
Arid5a	Th17_downOnly.txt	Th17_downOnly	1248	0	6	5	0.0176901642453	1	Celf2 Cenpw Hist1h1c Inpp4b Tnfaip8
Maf	Th17_upOnly.txt	Th17_upOnly	1170	0	37	18	0.0194399494681	1	Atp2b4 Batf Bdh2 Ccl20 Cd28 Cish Cndp2 Ctla2b Cyth4 Furin Gpr15 Ikzf3 Mt1 Mt2 Pim1 Pla2g12a Rorc Tec
Elk3	Th17_upOnly.txt	Th17_upOnly	1170	0	20	11	0.0229497846073	1	Acsl4 Aes Aldoa Cyth4 Egln3 Klhl6 Lgals3 Lpxn Rbpj Rnf149 Treml2
Stat6	Th17_upOnly.txt	Th17_upOnly	1170	0	36	17	0.0315779009768	1	Bcl2 Bdh2 Casp6 Chd7 Ctla2a Ehd4 Hemk1 Il21 Il4ra Klhl6 Lgr4 Lpxn Npc2 Pla2g12a Procr Rbpj Susd3
Nfe2l2	Th17_upOnly.txt	Th17_upOnly	1170	0	16	9	0.032914088876	1	Cdkn2d Crem Egln3 Ikzf3 Itgam Lta Ltb Ly6e Satb1
Dnmt1	Th17_upOnly.txt	Th17_upOnly	1170	0	7	5	0.0341019057494	1	Aldoa Casp6 Gpr65 Lgr4 Pla2g12a
Ctcf	Th17_upOnly.txt	Th17_upOnly	1170	0	55	24	0.0343391652827	1	Aldoa Bnip3 Cnn2 Crem Eif4ebp1 Galk1 Glipr2 Hif1a Higd1a Igfbp4 Il17a Il4ra Ltb Ly6a Ly6c1 Maf Npc2 Pim1 Pla2g12a Plod2 Rora Rorc Serpinb1a Socs1
Pou2af1	Th17_upOnly.txt	Th17_upOnly	1170	0	12	7	0.0473243250018	1	Cd28 Egln3 Eif4e3 Lgr4 Pim1 Tec Tnfrsf25
Zfp410	Th17_upOnly.txt	Th17_upOnly	1170	0	12	7	0.0473243250018	1	Adarb1 Il17a Klhl6 Ltb Pmepa1 Sesn3 Tnfrsf25
Creb3	Th17_upOnly.txt	Th17_upOnly	1170	0	10	6	0.05672607477	1	1600014C10Rik Aes Arid5a Satb1 Sept9 Znrf1
Rora	Th17_upOnly.txt	Th17_upOnly	1170	0	8	5	0.0678225705464	1	Cyth4 Ly6e Tec Tgm2 Treml2
Zfp260	Th17_upOnly.txt	Th17_upOnly	1170	0	6	4	0.0804564584461	1	Eif4e3 Gngt2 Itgam Ptgfrn
Jund	Th17_upOnly.txt	Th17_upOnly	1170	0	40	17	0.0867612537444	1	Aes Cd2 Cyfip2 Glipr2 Il2ra Itgam Lta Mt2 Pim1 Pla2g12a Satb1 Sept9 Sesn3 Socs1 Tgm2 Treml2 Znrf1
