	media(1h)	Th0(1h)	Th0(3h)	Th0(6h)	Th0(16h)	Th0(48h)	Th17(1h)	Th17(3h)	Th17(6h)	Th17(9h)	Th17(12h)	Th17(16h)	Th17(24h)	Th17(48h)	Th1(48h)	Th2(48h)	Treg(48h)
1500011K16Rik	6.1539	5.4278	 6.746	7.1735	7.3361	7.5902	6.2646	7.3708	7.9742	8.8167	8.6473	8.0365	8.5569	7.5425	7.4872	7.3571	7.4366
1500012F01Rik	9.77828	  9.528	9.05335	10.1487	 10.886	11.5366	10.0653	10.2267	10.7266	 11.068	11.4101	10.9832	12.0479	11.3877	11.6697	11.4966	11.1698
1500012K07Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5777	3.5282	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2999
1500015A07Rik	7.2522	7.0941	7.5582	7.5194	7.0518	6.5562	7.3955	7.8952	7.5551	7.6386	7.6066	7.0185	6.3235	6.5417	6.0192	6.1207	 5.938
1500015L24Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1500015O10Rik	3.6309	3.0418	4.4517	3.6022	4.0027	3.4148	3.0418	4.2145	4.5214	4.0232	3.7991	4.0431	3.0418	3.7708	3.3094	 3.695	3.2999
1500017E21Rik	3.0418	3.0418	3.0418	3.0418	3.4723	3.4765	3.0418	3.9599	3.7264	3.0418	3.4824	3.7033	3.4545	3.0418	3.6051	3.0418	3.2999
1600002D24Rik	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	 3.245	3.4545	3.0418	3.3094	3.3002	3.2895
1600002H07Rik	 5.465	 5.356	6.3314	6.6454	8.1057	7.9259	6.0762	6.7051	 7.107	7.5267	7.5599	7.9336	 8.749	7.8555	7.8979	7.8447	7.9571
1600002K03Rik	7.0389	6.2461	 6.495	7.2473	 8.007	7.7127	6.4307	6.2131	7.4958	7.9819	7.9519	7.8614	8.0841	 7.655	7.7246	7.7322	7.6812
1600010M07Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1600012H06Rik	9.6441	 9.743	9.6808	9.3203	8.0387	8.1014	9.8786	9.7809	9.4791	 9.034	8.8472	8.3138	8.2151	8.6007	8.2858	8.2988	8.1881
1600014C10Rik	9.98862	9.40072	 9.5476	8.26775	8.38218	8.48863	11.0903	8.70967	8.81374	9.71434	 9.7675	9.70863	10.0891	9.24978	8.96076	8.37498	9.60345
1600014C23Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.8584	3.7369	3.3002	3.8299
1600014K23Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1600015I10Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1600016N20Rik	5.7602	5.8965	5.4837	5.1691	5.3991	5.6617	6.2646	5.0883	5.1017	 5.607	4.8491	5.0803	5.0636	5.9501	5.2892	5.3924	5.9001
1600019K03Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1600020E01Rik	8.4121	8.2277	7.5905	7.2231	6.3675	6.6146	8.0301	7.6192	7.1843	7.1059	7.0105	6.5904	7.2519	6.7694	6.7494	6.6206	6.6892
1600023N17Rik	 4.197	3.7476	4.0578	4.3753	3.6561	4.3097	3.9934	4.0962	4.0013	3.8957	3.7991	3.6978	4.1127	4.1119	4.3001	4.4108	4.1932
1600025M17Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1600027J07Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1600029I14Rik	3.0418	3.0418	3.5576	3.0418	3.4778	3.0418	3.0418	3.0418	3.5282	3.0418	3.0418	3.4418	3.0418	  3.56	3.0418	3.0418	3.2895
1600029O15Rik	4.4395	4.5643	4.3667	3.0418	3.8936	 3.996	4.3652	3.5777	4.2069	 4.134	4.8062	4.3294	4.1127	4.2477	4.0697	4.0029	3.7249
1700001C02Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700001C19Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5282	3.5395	3.0418	3.4418	3.0418	3.0418	3.0418	3.2716	3.2999
1700001D01Rik	3.6309	3.0418	4.2742	3.6022	3.7914	3.6543	3.7207	4.0962	3.8765	3.0418	3.7991	3.9059	3.4545	3.7491	3.7839	3.2716	3.7249
1700001F09Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2716	3.0418
1700001G11Rik	3.8693	3.7476	4.2742	4.1428	4.3777	4.7789	3.0418	3.9599	4.1099	 4.134	4.3258	 4.142	5.1826	5.0252	4.4935	4.9916	4.9437
1700001G17Rik	4.5426	4.2417	4.8005	4.1428	4.3777	4.2471	4.3652	4.8621	4.3759	4.7447	4.3907	4.6213	4.6186	4.3579	4.0128	4.2526	4.5036
1700001J03Rik	3.6309	3.0418	3.9261	3.6022	3.7914	3.0418	3.7207	4.0962	4.3759	4.0232	4.0123	3.9122	4.0364	3.7513	3.2316	3.0418	3.0418
1700001J11Rik	3.0418	4.2417	3.5576	3.0418	3.0418	3.6069	3.9934	3.9599	3.7264	3.5395	3.4824	 3.245	3.6235	3.4092	3.7138	3.2716	3.2999
1700001K19Rik	3.6309	4.4152	4.6042	4.0009	4.0907	3.7863	4.6375	4.3199	4.3759	4.0232	4.2565	 4.124	3.7519	3.8494	 3.864	 3.999	3.8988
1700001K23Rik	 4.197	4.2417	3.9261	3.8295	3.6561	3.6543	3.7207	3.5777	3.5282	3.0418	3.4824	3.0418	3.4545	 3.623	3.2316	  3.53	3.7249
1700001L05Rik	6.0031	 5.846	7.6063	7.9156	7.8113	6.8216	5.8585	7.5049	7.5478	7.1469	7.0364	7.4915	7.0738	6.8933	7.0758	 7.232	 6.716
1700001L19Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700001O22Rik	3.8693	3.7476	3.7675	3.0418	5.3424	5.5477	3.9934	3.9599	3.8765	4.4053	5.1141	5.2896	5.6356	5.8159	5.1509	5.2105	 5.349
1700001P01Rik	3.6309	4.0305	4.3667	4.7276	3.4723	 3.996	3.9934	4.6602	4.4511	4.9598	4.4519	4.1421	4.0364	3.7708	3.7571	 3.999	3.8436
1700003C15Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700003D09Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.4748	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4545	3.0418	3.0418	3.0418	3.2895
1700003E16Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.9962	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.4545	4.3671	3.7571	3.9904	3.8988
1700003E24Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700003F12Rik	3.8693	4.4152	3.0418	3.8295	4.2134	 3.836	3.9934	3.9599	3.7264	3.5395	3.0418	4.0193	3.0418	3.4542	4.1041	3.9571	3.9092
1700003G13Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700003G18Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.7264	3.0418	3.0418	3.6019	3.4545	3.4092	3.5272	  3.53	3.2999
1700003H04Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700003L19Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700003M02Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700003M07Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.4765	3.0418	3.0418	3.0418	3.5395	3.4824	3.0418	4.1127	3.4542	3.7247	3.6239	3.2895
1700003P14Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700006A11Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700006E09Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700006F04Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700006H21Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.7207	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700007B14Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700007F19Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.7955	3.7264	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700007G11Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700007J10Rik	5.3156	4.6959	4.5305	4.5652	 4.298	4.3688	4.5097	4.5031	4.1099	4.2329	 4.182	4.4069	3.7519	4.1788	4.1481	4.1025	3.9092
1700007K09Rik	3.0418	3.0418	3.0418	3.6022	3.6561	 3.836	3.7207	3.5777	3.8765	3.8957	3.6625	3.6254	3.4545	3.7491	3.5356	  3.53	3.6485
1700007K13Rik	3.0418	3.0418	3.0418	3.0418	3.6484	4.3689	3.0418	3.0418	3.7264	5.0082	4.5097	3.4418	5.3175	 3.891	4.3486	4.3378	3.8299
1700007L15Rik	4.9536	4.4152	5.6187	5.1691	5.1387	5.5199	4.6375	5.8538	5.1431	5.3412	5.4177	5.3354	5.6556	5.5004	5.2487	5.2054	4.9409
