	media(1h)	Th0(1h)	Th0(3h)	Th0(6h)	Th0(16h)	Th0(48h)	Th17(1h)	Th17(3h)	Th17(6h)	Th17(9h)	Th17(12h)	Th17(16h)	Th17(24h)	Th17(48h)	Th1(48h)	Th2(48h)	Treg(48h)
Cep97	 12.013	11.2344	9.63322	8.72806	9.07914	9.74002	11.3618	9.22967	8.70685	 9.2744	9.38208	9.40608	9.51622	10.0872	9.61577	9.45167	9.82467
Cept1	10.6063	 10.508	11.0271	10.9335	10.5933	 10.612	10.5423	10.9571	10.4596	9.95208	10.0838	10.0468	9.93058	10.1415	10.6976	10.5991	10.4508
Cer1	3.6309	3.0418	3.0418	3.6022	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Cercam	 4.637	4.2417	4.5305	5.4551	4.7457	6.2451	5.2064	4.7313	5.1017	5.2655	5.1807	5.4181	 6.633	6.6911	5.9153	6.2472	7.1603
Cerk	10.6743	10.2249	9.09325	 8.5408	8.90982	8.77025	9.26749	8.55061	8.79851	 9.1135	9.23786	9.60944	 9.7817	9.13782	8.46094	8.81575	9.62168
Cerkl	5.0859	4.8143	4.9156	4.3753	4.8529	5.5477	4.5097	4.5031	4.0013	3.8957	4.3258	4.4451	4.7051	5.1951	5.7413	5.5244	5.5706
Cers1	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Cers2	 10.973	11.0579	11.3137	11.7679	 11.749	11.4434	10.9113	11.4879	11.8516	11.9536	12.0566	11.9668	11.6394	11.4037	11.5064	11.3521	11.1365
Cers3	3.0418	3.0418	4.0578	4.7276	4.3133	4.2005	3.7207	3.9599	4.1099	3.7423	4.3258	4.3932	4.3101	3.9491	4.2697	3.9684	4.0323
Cers4	9.4934	8.9801	8.3528	  7.96	7.6186	8.2746	9.0112	8.4211	7.8257	7.7491	 7.717	7.8361	8.4005	8.6772	8.2696	8.0014	8.3282
Cers5	10.8554	10.7068	10.1466	10.2595	 10.468	10.3329	10.4873	10.1024	10.1912	10.4029	10.7179	10.9035	10.7336	10.4213	10.2922	 10.265	10.4034
Cers6	9.94446	10.2346	9.04756	8.31985	8.52037	 8.5248	9.74136	8.72935	8.43862	  7.782	7.64622	8.56175	7.91165	8.65469	8.92302	8.68131	8.16681
Ces1a	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces1b	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces1c	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces1d	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces1e	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces1f	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2716	3.0418
Ces1g	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4545	3.0418	3.0418	3.0418	3.0418
Ces2a	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces2b	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.0418	3.2895
Ces2c	3.0418	3.0418	3.0418	3.0418	3.0418	6.1612	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	  5.56	4.6331	3.5303
Ces2d-ps	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces2e	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces2f	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces2g	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3094	3.0418	3.0418
Ces2h	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.0418	3.0418
Ces3a	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces3b	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces4a	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Ces5a	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Cetn1	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.0418	3.0418
Cetn2	8.7096	8.6452	8.6643	8.8113	8.8892	9.3263	  8.64	8.3465	8.5592	8.8481	8.9659	8.7384	 8.894	9.0735	9.4084	 9.242	9.2086
Cetn3	9.46246	9.28456	 9.5435	10.0182	10.1136	9.98146	 9.0722	9.50319	9.90017	9.96357	10.1899	9.97135	10.6156	10.0386	 10.213	10.1389	10.1015
Cetn4	3.0418	3.0418	3.9261	4.2658	4.0778	5.5763	3.0418	 5.666	5.8291	5.4806	5.8935	5.5878	 6.139	6.6896	5.8697	6.5076	4.4017
Cfb	3.6309	4.0305	 5.021	5.8279	6.0858	5.9475	4.6375	5.8828	6.1158	 5.226	5.4446	5.6637	5.6152	 5.478	5.7567	5.9096	5.8238
Cfc1	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Cfd	3.0418	4.4152	3.5576	3.8295	3.8936	3.9999	4.5097	4.5844	4.2949	3.7423	3.0418	3.8022	3.7519	4.0623	3.8334	4.3418	3.4049
Cfdp1	9.33141	9.40928	10.5534	11.1935	11.3204	11.2249	9.38038	10.8587	11.4016	11.3962	11.4684	11.3782	11.5644	11.2853	11.5495	11.3585	11.0862
Cfh	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Cfhr1	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Cfhr2	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Cfi	3.0418	3.0418	4.0578	4.5652	4.0907	3.5679	3.7207	4.4155	4.5875	3.8957	4.7154	4.2395	3.4545	3.6165	3.3375	3.6352	3.4842
Cfl1	12.0066	12.4183	12.4732	12.4532	 13.329	13.1465	12.8084	12.9247	12.9269	13.3792	13.3263	13.4995	13.4411	13.4787	 12.681	12.9287	12.9662
Cfl2	9.6366	8.9743	8.4261	8.5554	7.9891	 8.048	8.6467	8.7831	8.4736	8.2728	8.4409	8.1702	8.4092	8.2961	8.3057	8.1796	 8.126
Cflar	11.1353	11.2946	 12.306	12.2775	11.2588	11.2568	11.2983	12.9219	12.8459	12.4187	12.2868	11.8855	12.1521	11.4014	11.7282	11.4133	10.9807
Cfp	6.6542	6.7323	7.1666	6.6084	6.2665	6.0758	7.0347	7.4298	7.4882	7.4469	7.3149	7.0389	6.5512	 5.997	5.8829	5.8307	6.4378
Cftr	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3094	3.0418	3.0418
Cga	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5777	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Cggbp1	12.0739	 12.404	  11.69	 11.482	 10.861	11.4143	 12.167	11.4397	11.2626	11.0439	11.0371	10.8479	11.3137	11.2436	11.4721	 11.335	11.3699
Cgn	4.0486	3.7476	3.9261	4.1428	3.6484	3.9962	4.1974	4.0962	3.7264	3.5395	3.4824	3.8604	3.7519	 3.471	3.7247	 3.852	3.8934
Cgnl1	3.0418	3.0418	3.0418	3.0418	3.0418	3.7226	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.3094	3.3002	3.5303
Cgref1	3.6309	3.0418	3.9261	3.0418	3.0418	5.0904	3.0418	3.7955	3.5282	3.7423	 3.913	 3.619	4.0364	4.6108	4.9224	4.7138	3.8436
Cgrrf1	6.8768	7.3112	6.0321	6.1731	6.5668	7.6354	6.8132	5.8538	5.5594	 6.189	6.3748	6.3011	7.2389	7.5375	7.8512	7.8905	7.8441
Ch25h	3.6309	3.0418	3.0418	3.6022	3.0418	3.4748	3.7207	4.3199	3.5282	3.0418	3.0418	4.0418	4.8612	3.6466	3.8334	3.2716	3.7319
Chac1	3.0418	3.0418	3.0418	3.8295	4.1571	7.2867	3.7207	4.9803	4.0013	4.6844	 4.182	 4.272	4.8612	8.5882	7.3858	 7.751	7.8507
Chac2	5.9379	  5.28	6.5455	6.7166	6.7497	7.0285	6.2289	 6.954	6.7092	6.8187	7.0105	 6.488	6.5927	6.9736	7.5277	7.1583	6.9028
Chad	5.2619	4.5643	4.5305	4.3753	4.1571	4.1676	4.1974	4.0962	4.1099	4.0232	 4.182	4.2406	4.3101	4.3092	4.2075	4.5928	4.3363
Chadl	3.8693	4.0305	3.9261	4.1428	3.6561	3.7818	4.1974	4.0962	3.8765	3.8957	 3.913	3.7436	3.7519	 3.988	4.0953	4.2992	3.8934
Chaf1a	 6.0955	6.08217	 5.5187	5.61664	11.0995	11.4816	6.26459	5.88279	5.92372	7.93007	9.11233	10.7696	11.9047	11.4837	11.4106	11.5574	11.5175
Chaf1b	7.84028	7.65199	6.78852	7.08237	9.66928	9.57667	7.89006	7.70929	6.90489	7.59489	8.07304	9.26448	10.5295	9.70312	 9.4191	9.64183	9.53399
Champ1	10.1026	10.2322	11.2577	11.4085	 11.469	10.8899	10.4457	11.4349	11.4291	11.3554	11.4365	11.5838	11.1333	10.6472	10.7625	10.7798	10.6901
Chat	3.0418	3.0418	3.0418	3.0418	3.0418	3.4148	3.0418	3.0418	3.0418	3.0418	3.4824	3.2386	3.0418	 3.471	3.3094	3.7542	3.0418
Chchd1	8.79797	8.70205	9.03591	9.68261	9.88523	9.85137	8.40709	 9.1443	9.55714	9.95496	10.0164	9.87354	10.1016	9.83655	10.1254	9.97844	9.71759
Chchd10	6.8768	7.3294	8.2149	8.3646	9.0972	9.1812	7.6706	8.4403	  8.78	9.0979	 8.902	8.8774	8.7894	9.9898	8.9454	9.3642	9.7675
Chchd2	9.02704	8.48431	8.82527	 9.1771	9.32974	9.79948	8.86936	9.40874	9.84343	10.1748	10.5116	9.63481	10.8043	9.85268	9.95689	9.64988	9.90741
Chchd3	10.3003	10.4069	9.27274	10.5737	11.1832	11.0548	9.80566	 8.9433	10.2472	10.6253	10.7146	 10.979	11.0696	10.8624	 11.144	11.0614	10.9147
Chchd4	7.56023	7.53149	9.63901	10.1756	10.1914	9.89961	 8.4306	10.4995	10.5882	10.8693	11.0424	10.6583	10.8448	9.77259	10.1018	 9.9854	9.43277
Chchd5	6.9439	6.9833	7.3093	6.8172	7.0765	8.6722	7.2965	7.2881	6.9276	7.3624	6.9208	6.9359	8.0363	8.2782	8.3335	8.3559	8.3888
Chchd6	4.5426	4.8143	4.7386	6.2476	7.4471	7.9021	5.1277	4.9226	6.5127	 7.254	  7.53	7.7048	8.7581	 7.986	7.9264	8.0608	7.8098
Chchd7	8.3145	8.0419	 7.955	 7.938	 7.821	8.3585	8.3006	8.2893	7.9523	7.8824	7.6123	 7.356	7.7706	7.4545	8.2427	8.1566	7.9908
Chd1	13.5504	14.0087	13.4894	13.2149	12.5348	12.4072	13.6184	 13.187	12.8852	12.3887	 12.467	12.4117	12.0293	12.1588	12.5103	12.4028	12.2561
Chd1l	9.67396	9.44302	10.2359	10.5617	11.0664	10.5132	9.66088	10.4764	10.7513	 10.956	11.0308	11.1138	11.0696	10.5364	10.4014	10.5286	10.1298
Chd2	14.9714	14.8748	12.5839	11.1163	10.6097	 11.887	13.9842	12.2187	10.9141	10.1473	9.97035	10.1107	10.6465	11.7818	11.9478	11.7275	12.0015
Chd3	14.1907	14.0124	13.2189	12.8389	12.7819	11.9566	14.1225	13.2847	12.6186	12.3769	12.4237	12.4286	12.2538	11.4987	 11.886	11.6554	12.5837
Chd3os	5.2619	 6.125	6.3694	7.1222	 7.612	5.6715	5.8106	6.7523	6.8346	6.9752	7.1354	 7.622	7.7571	5.5654	5.7535	5.8588	6.0227
Chd4	13.8729	14.1888	14.5667	14.7228	14.5083	14.4961	 13.932	14.7497	14.8037	 14.297	14.3463	14.5736	13.8089	14.3707	14.3864	14.4256	14.3295
Chd5	4.3254	4.2417	4.8594	5.2715	4.5503	5.0207	4.1974	5.1879	5.1017	5.0082	4.9696	4.5013	4.3101	4.4742	4.6035	4.9457	4.6135
Chd6	12.2317	12.5102	11.7429	11.1661	10.4984	10.7246	12.2442	11.0031	10.7568	10.4948	10.2797	10.1938	 9.5726	10.2485	10.5923	10.5708	10.9273
Chd7	13.7583	14.3306	 13.674	12.1566	11.4474	11.1166	14.0687	14.4102	12.5699	 11.783	11.6307	11.8436	10.6892	12.4871	11.3382	11.0412	11.1044
Chd8	12.8059	12.7628	12.8219	12.6208	12.4754	12.0468	12.5648	12.5919	12.4403	12.0665	12.0127	12.1265	11.5831	11.9611	12.0331	12.0837	12.0904
Chd9	10.4826	 10.449	10.0956	10.0916	10.1351	10.5232	9.97499	9.50319	9.77972	9.35732	9.43789	9.73948	9.76153	10.7109	10.6904	 10.265	 10.512
Chdh	6.2638	5.6821	5.4837	4.9362	4.8325	4.4854	5.2064	3.7955	4.5214	5.0082	4.5097	4.6004	4.8612	4.7772	3.9836	4.6508	6.2156
Chek1	 5.5994	5.49602	5.65048	6.62703	10.4826	10.1705	5.28066	5.99297	6.52771	7.80776	9.23971	10.1537	 10.775	10.1284	 10.289	10.1349	10.1227
Chek2	 5.465	4.5643	5.4477	6.1731	7.5501	8.7552	4.8575	 5.666	6.3195	 6.844	6.8642	7.1779	8.4629	8.8332	8.6484	8.6735	8.7342
Cherp	10.7274	10.9014	11.9256	11.9823	 12.099	11.6451	 11.379	12.0373	12.1691	12.3629	12.1617	12.2337	12.1159	11.6147	11.3232	11.6593	11.5799
Chfr	11.1836	11.0109	10.5747	 10.252	9.64548	10.3596	11.0977	10.5223	10.1329	 10.032	10.0367	9.89827	9.92253	10.5225	10.4957	10.4635	10.5867
Chga	3.0418	3.0418	3.0418	3.0418	3.0418	4.5768	3.0418	3.0418	3.8765	3.0418	3.0418	3.0418	4.0364	3.7513	4.8683	4.7407	3.9727
Chgb	3.0418	3.0418	3.7675	3.6022	3.4778	3.7226	3.7207	3.0418	3.7264	3.8957	3.7991	3.5568	3.4545	 3.471	3.2316	3.3654	3.4842
Chia1	3.0418	3.0418	3.0418	3.0418	3.0418	3.7863	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.6235	3.6165	3.6051	3.6239	3.6485
Chic1	7.1281	6.9601	6.5289	 6.627	6.1466	5.3101	6.2994	6.2355	6.2306	5.8547	5.6421	 5.613	5.4399	 5.029	 5.857	5.8065	6.2839
Chic2	9.6441	9.5162	8.9139	8.7991	 8.646	 8.915	9.5293	8.7449	8.7769	8.9382	8.9159	8.6535	8.9083	8.6688	9.0295	9.0851	9.0523
Chid1	7.6228	6.8633	8.9578	9.1325	9.0928	9.1722	7.5178	9.1027	9.4186	9.3896	9.3292	9.2663	9.5427	9.1266	9.1246	9.1535	9.1016
Chil1	3.0418	3.7476	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2631	3.0418	3.0418	3.0418	3.0418	3.5476
Chil3	3.0418	3.7476	3.0418	3.0418	3.0418	3.0418	3.7207	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chil4	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chil6	4.0486	3.7476	3.7675	3.6022	3.4723	3.7892	3.7207	3.7955	3.0418	3.0418	3.0418	3.2386	3.4545	3.7513	3.8334	3.8058	3.7535
Chit1	3.0418	3.0418	3.0418	3.0418	3.0418	3.7892	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	  3.56	3.8944	 3.729	3.6485
Chka	10.0505	9.63769	8.95159	9.31463	8.63745	8.77663	9.00075	9.24889	8.87601	8.59819	8.50077	 8.5111	8.27329	8.00305	8.54519	8.65149	8.72681
Chkb	6.2099	 5.846	5.5187	5.3664	5.1292	4.7569	5.6558	5.4082	5.4345	5.4127	5.0073	5.3889	5.5734	4.6869	4.9606	 4.967	5.0118
ChkbCpt1b	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chl1	5.1473	4.6959	3.7675	4.0009	3.0418	3.7226	5.0439	4.8621	3.0418	3.7423	3.0418	3.6057	3.6235	 4.422	4.5506	 3.911	5.4263
Chm	10.2218	10.2249	10.0325	9.75584	9.78978	9.89487	9.81164	 9.9261	10.2628	10.1013	10.5373	10.5938	10.3506	10.9101	10.1704	10.0623	9.95496
Chml	8.7381	9.1884	8.8117	9.5041	8.7023	8.9712	 8.606	9.0996	9.1307	8.3138	8.5038	8.3933	 8.512	8.6776	8.9727	8.6841	8.6213
Chmp1a	9.72231	9.33035	9.71403	9.45836	9.73705	9.24474	9.61377	9.92951	9.81949	10.0415	9.91937	 9.8918	9.78281	9.47806	9.26187	9.34474	9.46655
Chmp1b	11.1074	10.8283	 10.034	9.61707	 8.9154	9.56142	10.5917	9.51911	9.53709	9.53342	9.47288	9.18013	9.52022	9.83393	9.57048	9.64864	9.66504
Chmp2a	9.79421	10.3458	10.7183	10.4098	10.2238	  10.11	10.3828	10.8435	10.7529	10.8845	10.7331	10.4591	 10.334	10.3916	9.84563	10.0484	10.5665
Chmp2b	9.6188	9.1429	8.8421	8.5745	8.7507	9.1701	9.5792	9.0347	8.6638	8.8604	8.8761	 8.869	9.1202	9.3328	9.4596	9.3091	9.1529
Chmp3	 10.099	9.99693	10.1788	10.1147	9.80191	9.62324	9.84115	9.96811	10.0872	 10.055	10.0023	9.85373	9.88988	9.72831	9.69692	9.66394	9.77786
Chmp4b	11.8727	 11.899	11.7235	11.7421	11.5401	11.4026	13.3185	13.3532	13.1794	13.5222	13.4523	13.1846	12.9692	12.2661	11.5775	11.5951	11.8258
Chmp4c	3.6309	3.0418	3.0418	3.8295	3.6484	3.6543	3.9934	3.0418	3.5282	3.5395	3.0418	3.6254	3.4545	3.7513	3.6643	3.9388	3.0418
Chmp5	9.10572	  9.117	8.82865	9.01807	9.43566	9.98361	9.49252	8.71362	9.13558	9.42746	9.59919	9.38477	9.96233	10.4027	10.1824	10.0674	10.0499
Chmp6	7.4836	7.9971	8.7309	8.8938	9.0649	8.6212	 8.292	9.0473	9.0635	9.4542	9.2994	9.2001	9.2689	8.8584	8.5593	8.8525	 8.841
Chmp7	10.5605	10.3256	9.88612	9.96831	9.94081	9.88711	10.3359	10.1174	9.96434	10.0921	10.2088	10.0759	10.0087	10.0252	9.78675	9.76926	9.88647
Chn1	3.0418	3.0418	3.0418	3.6022	3.7304	4.5961	3.0418	3.0418	3.5282	3.0418	3.6625	3.6934	4.3681	5.1467	5.0661	4.6551	 4.151
Chn1os3	3.0418	3.0418	3.0418	3.0418	3.0418	3.4148	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4545	3.4542	3.5272	3.2716	3.5476
Chn2	7.3041	7.5157	  7.27	6.5314	6.9254	7.4454	7.6837	5.7315	5.2968	5.2655	5.5714	5.9377	7.0293	6.4898	7.3015	7.9221	6.7045
Chodl	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chordc1	10.9044	11.3622	11.4167	12.0182	 11.855	11.2931	10.8341	11.5119	11.8494	11.7377	12.1164	11.9189	11.7888	11.3313	11.4687	11.4397	11.2507
Chp1	10.7532	10.5415	9.60393	9.10308	9.64419	10.3728	9.99613	9.08445	8.92452	9.10833	9.38208	9.49126	9.74337	10.6725	10.2266	10.0186	10.0603
Chp2	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chpf	8.94789	9.06918	10.0928	10.2476	10.3065	9.41271	 9.5931	 10.666	10.4692	10.6154	10.4814	10.5224	10.2529	9.44799	9.12433	9.61194	9.47582
Chpf2	9.37441	9.07995	 9.4718	8.89377	8.83014	8.57905	9.28478	10.0265	9.58225	9.63212	9.28159	9.07073	9.18556	8.72886	8.46343	8.63958	8.55884
Chpt1	 6.125	5.9924	5.7707	6.1474	6.1928	6.9593	6.1922	5.8242	6.0546	6.5842	6.4921	6.5858	7.1587	6.9461	7.3239	7.0731	7.0245
Chrac1	  9.35	9.1784	9.2528	9.2683	9.3069	9.2492	  9.47	9.1819	9.1185	9.3354	9.3821	9.3353	9.6526	9.1049	9.1482	9.2082	9.3468
Chrd	3.6309	3.0418	3.0418	3.6022	3.0418	3.0418	3.7207	3.5777	3.5282	3.0418	3.4824	3.2386	3.0418	3.0418	3.0418	3.2716	3.0418
Chrdl1	3.0418	3.7476	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chrdl2	3.0418	3.0418	3.0418	3.6022	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2386	3.0418	3.0418	3.0418	3.0418	3.0418
Chrm1	3.6309	3.0418	3.9261	4.1428	3.6484	3.0418	3.7207	4.0962	4.1099	3.5395	 3.913	3.5405	3.6235	3.0418	3.0418	3.3002	3.2895
Chrm2	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.3002	3.0418
Chrm3	4.0486	4.4152	4.3667	3.0418	3.0418	3.0418	4.7526	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.6051	3.0418	3.0418
Chrm4	 5.417	5.7389	5.4107	5.6166	6.7693	8.8248	8.7057	7.3403	6.5717	6.5385	6.6004	6.8925	7.2583	7.9568	8.7063	  8.35	8.7692
Chrm5	3.6309	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chrna1	3.0418	3.7476	3.0418	3.8295	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4529	3.0418	3.0418	3.0418
Chrna10	3.0418	3.7476	3.5576	3.0418	3.6484	3.0418	3.0418	3.5777	3.0418	3.0418	3.4824	3.0418	3.6235	3.0418	3.3375	3.3002	3.0418
Chrna2	5.6822	5.6229	5.2086	5.6542	4.9896	4.1516	4.7526	5.2805	5.2968	5.3039	4.9696	5.1898	5.0944	4.4178	4.4729	4.2526	4.4017
Chrna3	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5282	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chrna4	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5282	3.7423	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chrna5	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3375	3.0418	3.2895
Chrna6	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2999
Chrna7	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3375	3.0418	3.0418
Chrna9	3.6309	3.0418	3.5576	3.0418	3.4778	3.6543	3.7207	3.9599	4.1099	3.0418	3.0418	3.5568	3.7519	3.4529	3.6051	3.2716	3.4842
Chrnb1	5.9709	6.5879	6.2924	5.8602	5.6859	5.9018	6.2646	 5.487	5.6177	5.1853	5.5714	5.3889	5.1245	5.9177	6.0337	5.8117	 5.699
Chrnb2	6.6542	6.5879	7.5744	8.0924	6.3903	5.6944	6.8833	7.2227	8.1904	7.5267	6.4921	6.0248	5.2107	5.6758	5.5246	5.6501	5.7682
Chrnb3	3.0418	3.0418	3.0418	3.0418	3.4723	3.0418	3.0418	3.0418	3.0418	3.0418	3.4824	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chrnb4	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.3002	3.0418
Chrnd	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
Chrne	6.2371	 6.125	4.6042	3.8295	4.0068	3.8984	5.2807	5.3669	4.9209	3.5395	3.7991	3.9498	3.6235	 3.891	3.4614	4.3415	3.5476
Chrng	3.0418	3.0418	3.0418	3.6022	3.0418	3.4148	3.0418	3.5777	3.5282	3.0418	3.0418	3.0418	3.0418	3.4092	3.5272	3.2716	3.0418
Chst1	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5777	3.5282	3.5395	3.4824	3.0418	3.4545	3.0418	3.0418	3.0418	3.2999
Chst10	8.4471	9.0309	9.2502	8.9499	 8.892	7.7226	8.4306	8.4873	8.4268	8.2589	 8.118	8.2403	8.5903	8.2826	7.5568	7.5998	7.8116
Chst11	5.2058	4.8143	7.7054	7.4894	7.1379	 8.712	5.4177	 9.735	9.5535	8.4261	 7.717	 7.644	7.5266	8.7904	8.5238	7.9686	7.6167
