GO:0016055 wnt_signaling_pathway Axin2|Axin1|Egr1|Rnf43|Fgf10|Ctnnb1|Sox2|Cxxc4|Fzd10|Myh6|Grb10|Dkk4|Dkk2|Fgf2|Dkk1|Klf4|Bcl9|Mitf|Hdac2|Cav1|Ube2b|Lgr5|Lgr4|Ptk7|Isl1|Ankrd6|Mir106b|Tiam1|Fzd3|Wnt9b|Fgf9|Fgf8|Shh|Notum|Vangl2|Abl2|Cby1|Sox4|Zeb2|Wnt2b|Fzd1|Fzd2|Sost|Fzd4|Fzd5|Fzd6|Fzd7|Fzd8|Etv2|Mir15a|Csnk1d|Csnk1e|G3bp1|Tbx18|Myc|Ddb1|Wnt11|Ctdnep1|Rac1|Aspm|Rbpj|Gsk3b|Nle1|Atp6ap2|Krt6a|Yap1|Mir200b|Sdc1|Ryr2|Six3|Mapk14|Mgat3|Mbd2|Gata4|Tdgf1|Fgfr2|Gata3|Mir222|Zfp703|Ift20|Wls|Tcf7l2|Hnf1b|Ptpro|Gsc|Hnf1a|Stk4|Ndp|Limd1|Tert|Wnt7a|Wnt7b|Plpp3|Hhex|Lect2|Mir224|Sox10|Wnt2|Wnt1|Macf1|Wnt9a|Wnt6|Sox17|Ddit3|Med12|Stk3|Ctnnbip1|Apc|Nlk|Cfc1|Nkd1|Tmem64|Grhl3|Ccnd1|Tcf7|Disc1|Gpc3|Mir200a|Lef1|Mir27b|Ror2|Hdac1|Porcn|Sdhaf2|Mir221|Lrp6|Mir93|Lrp4|Lrp5|Notch1|Mir195a|Mks1|Lats2|Barx1|Pitx2|Cthrc1|Sfrp2|Sfrp1|Nfatc4|Sfrp5|Wwtr1|Btrc|Fuz|Sulf2|Celsr1|Frat2|Tsku|Wnt5b|Wnt5a|Uty|Cdh2|Folr1|Pygo1|Arntl|Sox9|Smarca4|Wnt3|Gsdma3|Ins2|Foxl1|Mesp1|Dact1|Ift80|Dact3|Cul3|Rspo3|Rspo2|Rspo1|Otulin|Ryk|Mir32|Abl1|Wnt10b|Stk11|Sostdc1|Ldb1|Tmem237|Wnt4|Lzts2|Draxin|Wnt3a|Zbed3|Znrf3|Mir29b-1|Frzb|Hmga2|Foxo3|Fgfr3|Foxo1|Gli1|Shisa2|Cdh1|Lrp1|Gprc5b|Cela1|Ccne1|Tle4|Lrrk2|Celsr3|Dixdc1|Mir182|Celsr2|Mir196a-2|Mir196a-1|Kdm6a|Prop1|Bcl9l|Nxn|Nkx2-5|Tax1bp3|Eda|Vps35|Bmp2|Pygo2|Cd44|Src|Dvl2|Dvl3|Dvl1|Rapgef1|Dlx5|Cdc42|Mir20a|T
GO:0016050 vesicle_organization Zdhhc15|Tsg101|Tbpl1|Slc17a7|Nectin2|Vps33b|Tbc1d20|Snx19|Dtnbp1|Rfx2|Myo7a|P2rx7|Zpbp2|Bloc1s4|Bloc1s3|Vamp7|Vav3|Uvrag|Syt7|Shroom2|Serpine2|Rab3a|Sec24b|Srgn|Sar1a|Agfg1|Zpbp|Spaca1|Slamf1|Bcl2|Vamp1|Vamp3|C2cd5|Aqp1|Vamp8|Tmf1|Als2|Grik5|Srpx|Stxbp1|Akt2|Sec23ip|Sort1|Cadps|Lyst|Picalm|Zeb2|a|Tyrp1|Samd9l|Tmem175|Dlg4|Dysf|Gpr143|Clcn3|Zfp385a|Stx3|Creb1|Trappc6a|Coro1a|Stx4a|Fbxo5|Unc13a|Snapin|Pafah1b1|Nbeal2|Pla2g3
GO:0008052 sensory_organ_boundary_specification Ntf5
GO:0070723 response_to_cholesterol Tgfbr2|Tgfbr1
GO:0009048 dosage_compensation_by_inactivation_of_x_chromosome Xist|Brca1|Prdm14|Smchd1|Ftx|Exosc10|Tsix|Jpx|Eif1|Upf1|Xiaf3|Xiaf2|Xiaf1|Dnmt3b|Rlim
GO:0060347 heart_trabecula_formation Tgfbr3|Egln1|Tek|Adamts1|Smarca4|Bmp10|Rbp4|Ovol2|Fkbp1a|Srf|Hey2|Cav3|Nkx2-5
GO:0060349 bone_morphogenesis Actn3|Sfrp2|Axin2|Ifitm5|Acp5|Cdx1|Bmp6|Col1a1|Gnas|Dhrs3|Hoxa11|Sp5|Mef2c|Ripply2|Impad1|Mef2d|Insig2|Mmp14|Fgf4|Ltbp3|Sik3|Cbs|Twist1|Comp|Pappa2|Hspg2|Pthlh|Ski|Chsy1|Fgf18|Phospho1|Msx1|Serpinh1|Csgalnact1|Fgfr2|Fgfr3|Rara|Tgfbr2|Mmp16|Msx2|Rarg|Mmp13|Dlx5|Thbs3|Hoxd11|Glg1|Col27a1|Sox9|Pax1|Osr2|Cited2|Lrp6|Runx2|Thbs1|Nppc|Alpl|Matn1|Ripply1|Bmp4|Pex7|Ift80|Tfap2a|Col2a1|Carm1|T|Col9a1|Gli3|Shox2|Scx|Insig1|stm|Trip11|Rarb|Foxn3|Nab1|Has2|Nab2
GO:0030324 lung_development Igf1|Psen2|Ctnnb1|Sox2|Pkdcc|Foxa2|Meg3|Mir92-1|Flt4|Ctsh|Sim2|Spry2|Sp1|Adamts2|Agr2|Map2k1|Fgf2|Klf2|Numb|Hes1|Atxn1|Cic|Nfib|Cyp1a2|Stk40|Ptk7|Tshz3|Cfc1|Gata4|Mapk3|Sox9|Dag1|Fgf9|Fgf8|Shh|Dicer1|Vangl2|Fgfr4|Fgf1|Hsd11b1|Wnt2b|Foxa1|Cebpa|Edn2|Mir367|Cux1|Ptges3|Ascl1|Ift88|Dppa2|Sepn1|E030019B13Rik|Tmtc3|Ncor2|Spdef|Tgfbr2|Asxl1|Rbpj|Thrb|Thra|Rc3h2|Yap1|Foxp2|Foxp1|Foxp4|Tab1|Man2a1|l7Rn6|Sec24b|Gata6|Fndc3b|Fgfr2|Fgfr3|Fgfr1|Phf14|Abca12|Srf|Dppa4|Plod3|Mir302c|Timeless|Sav1|Sp3|Hoxa5|Insc|Rbp4|Hs6st1|Tbx4|Tbx5|Nos3|Wnt7b|Lipa|Lama1|Hhex|Lama5|Numa1|Wnt2|Ccbe1|Eya1|Kras|Pdgfa|Nog|Heg1|Grhl2|Errfi1|Rxfp1|Nodal|Mir19b-1|Pdpn|Notch1|Slc23a1|Hspb11|Ctgf|Gpc3|Vegfa|Mir18|Ada|Mir17|Lox|Aimp2|Gli1|Fbxw7|Tgfb3|Ltbp3|Ppp3r1|Pthlh|Smad2|Pitx2|Man1a2|Epas1|Bag6|Celsr1|Tns3|Dhcr7|Crh|Zfp157|Aldh1a2|Pdgfra|Dlg5|Wnt5a|Ppp1ca|Creb1|Mir302d|Rdh10|Mir302a|Mir302b|Sox11|Tcf21|Kdr|Mapk8ip3|Rspo2|Lif|Hopx|Id1|Esrp2|Esrp1|Myocd|Igfbp5|Adamtsl2|Bmpr1a|Bmpr2|Hmga2|Map2k2|Spry1|Fgf18|Rab3a|Fgf10|Mmp14|Mycn|Acvr2b|Jmjd6|Mir19a|Nkx2-9|Foxf1|Nkx2-1|Gpsm2|Hhip|Bmp4|Atxn1l|Rpl13a|Zfpm2|Hmgb1|Ccdc40|Gli2|Gli3|Mapk1|Pgr|Ep300|Atp7a|Mir20a|Cdc42
GO:0030326 embryonic_limb_morphogenesis Wnt9a|Fuz|Psen2|Psen1|Ctnnb1|Ski|Sp8|Reck|Rab23|Hoxd9|Ttbk2|Dkk1|Megf8|Msx1|Wdr19|Smarca4|Zbtb16|Hoxd12|Hoxd13|Bax|Hoxd11|Med1|Fgf9|Fgf8|Shh|Fgf4|Pbx2|Pbx1|Dicer1|Fzd6|Ift88|Shox2|Hand2|Gas1|Rpgrip1l|Lmbr1|Mecom|B9d1|Gnaq|Gnas|Osr1|Osr2|Runx2|Fbxw4|Hoxc11|Hoxc10|Gna12|Fgfr1|C2cd3|Sp9|Tbx2|Tbx3|Tbc1d32|Hnf1a|Tbx4|Tbx5|Traf3ip1|Wnt7a|Hoxa9|Mfsd7b|Grem1|En1|Wnt3|Smad4|Ihh|Sall1|Ift122|Wdpcp|Tmem107|Chst11|Ift52|Grhl2|Hoxa13|Hoxa11|Hoxa10|Gpc3|Gdf5|Lef1|Dync2h1|Ror2|Trp63|Hdac1|Gja1|Hdac2|Lrp6|Gja5|Lrp4|Lrp5|Alx3|Alx1|2410089E03Rik|Notch1|Notch2|Alx4|Mks1|Pitx2|Pitx1|Sfrp2|Rarb|Bcl2l11|Rarg|Fbn2|Cyp26b1|Prrx1|Wnt5a|Prrx2|Msx2|Aldh1a2|Crabp2|Lnp|Intu|Rdh10|Rspo2|Impad1|Tmem231|Fras1|Sall4|Twist1|Mycn|Acd|Tulp3|Bmpr1a|Hoxd10|Ptch1|Bmp7|Bmp4|dblr|Chd7|Tfap2a|Gli2|Gli3|Dlx5|Dlx6
GO:0031050 dsrna_fragmentation Drosha|Rbm3|Srrt|Adar|Lin28a|Dicer1|Ago2
